fundID,net
000AEFGLIUE,21.57
000AEFGLIU,24.01
000AMEFEUA,17.3
000AMEFEUAE,15.54
000AMEFEUAEH,21.06
000EPCEMDIE,61.03
000EPCEMDIEH,25.67
000EPCEMDIEP,11.52
000EPCEMDIUP,12.7
000EPCWDEIE,41.16
000EPCWDEIEH,30.42
000SBEMDI,27.48
000SBEMDIE,24.68
000EPCEUEI,52.99
000AMGEMAU,18.88
000AMGEMAUE,16.96
000AMGEMAUEH,19.88
000AMGEMAUEP,14.61
000EPCEUEIU,58.99
000EPCEUIE,35.88
000EPCGSBI,33.5
000EPCGSBIE,30.1
000EPCGSBIEH,24.85
000EPCGSBIEP,13.05
000AMEFIEH,21.52
000AMEGEMIEH,27.03
000AMEGLEE,28.55
000AMEGLEEE,25.64
000AMEGLEEEH,20.97
000AMEHIBA,30.1
000AMEHIBAE,27.04
000AMEHIBAEH,28.58
000AMEHIBAUP,13.48
000AMESTAU,16.11
000AMESTAUE,14.47
000AMESTAUEH,14.77
000AMESTAUEP,6.7
000AMESTAUUP,6.41
000AMEXIEH,16.32
000AMGEMAUUP,8.43
000AMUSIEH,34.31
000AMXEMDIEH,27.15
000EPCEMDI,67.94
000EPCEUIEU,39.94
000EPCLCEIEH,33.2
000EPCLCEI,51.53
000EPCLCEIE,46.29
000EPCLCIU,33.67
000EPCLCIUE,30.24
000EPCWDEI,45.82
000SBEMDIUP,12.29
000TDNESL1LN,2.9284
000TDNESL2LN,3.271
000TGEDINALN,2.6255
000TGEDRNALN,2.5026
000TGEDRNILN,1.6714
000TGEEINALN,2.3602
000TGEEINILN,1.5664
000TGEERNALN,2.2496
000TGEERNILN,1.5024
000THGEMIALN,1.8696
000THGEMIULN,1.4357
000THUHIEH,27.19
000TNESIIE,1.8888
000TNESINA,1.6468
000TNESRIE,1.2666
000TNESRNA,1.6307
000TPEEAUH,16.55
1001AY,47.52
1001CY,52
1004AY,95.96
1004BY,86.09
1004CY,104.9
1007AY,18.91
1007BY,16.54
1007CY,21.12
1009,37.55
101,21.41
1010,46.04
1012,36.8
10130428,154.72
1013A6,33.13
1013AF,20.21
1013AH,15.94
1013AS,21.46
1013BS,20.04
1013C6,34.46
1013CS,21.99
1013DK,9.46
1014,35.23
1016AY,36.32
1016BY,31.75
1016CY,40.25
1022,19.67
1022AQ,16.68
1022CQ,17.32
1025A6,12.35
1025AY,12.45
1025C6,12.99
1025CC,15.05
1028,14.7
1028AY,117.03
1028BY,102.38
1028CY,127.53
103,8.16
1031AY,115.86
1031BY,99.22
1031CY,130.48
1037AY,31.53
1037BY,27.16
1037CY,34.69
104,6.45
1040AY,6.41
1040CC,11.16
1040CY,6.72
1043AY,7.6
1043CY,7.98
1049,8.79
1049A3,186
1049A6,18.03
1049A7,18.2
1049AY,1.81
1049C3,203
1049C6,18.48
1049C7,18.67
1049CY,1.91
1050,8.66
1051,11.18
1052A6,33.99
1052AY,49.57
1052BY,43.09
1052C6,37.93
1052CY,54.29
1052DG,9.66
1052FG,9.82
10531003,87.55
10532247,99.75
10532248,140.36
10532262,128.69
106,74.65
1061AY,7.52
1061CY,7.89
1064A6,19.5
1064AF,11.61
1064AH,8.91
1064AS,11.98
1064BS,10.98
1064C6,20.57
1064CC,19.35
1064CS,12.46
1064DK,8.66
1067AY,14.58
1067BY,12.33
1067CY,16.34
107,18.78
108,47.27
1105,12.23
1116,8.58
1145,8.87
1146,7.11
1147,8.76
1155,16
1156,14.3
1171,10.54
1172,10.35
1174,11.17
1209LU0273496686,14.4391
1209LU0274935138,7.002
1211LU0459039664,6.0748
1211LU0490651758,9.7167
12192307,101.5
12192330,85.48
12920501,65.8
12957889,59.43
12957892,75.42
1301LU0137992961,3.5405
1307LU0144879052,8.9526
1307LU0401378400,9.5138
1310LU0180621863,11.2921
1310LU0206569211,9.9231
1313LU0562505734,13.6951
1313LU0562505817,9.5697
1316LU0428042740,12.1788
1316LU0432678927,10.7059
132,22.29
1320LU0562506468,9.6577
1320LU0562507193,8.5765
13326192,65.62
1404LU0010019817,5.4233
1433,8.79
1434,7.76
1435,9.85
1436,8.61
150,34.08
1501LU0047882062,3.1987
1504LU0083327972,4.3473
1507LU0160768213,12.4442
1528LU0300873642,9.7654
158,51.77
1659,9.35
1714,9.65
1716,9.06
1805,7.7
1910935,13.34
1910942,12.48
1930124,25.26
2000AA,23.16
2000AM,8.96
2000AQ,14.09
2000AX,8.77
2000CC,24.39
2000DK,8.02
2003AA,12.81
2003AS,12.44
2003CC,13.47
2006AA,13.61
2006AS,12.57
2006CC,14.47
2015AA,105.95
2015BB,90.2
2015CC,116.16
20240339,139.92
2030AA,87.07
2030CC,90.17
2033AA,17.3877
2033AM,12.7528
2033CC,17.993
2036A6,6.824
2036AA,12.781
2036AF,7.1568
2036C6,7.8536
2036CC,13.3855
2036DK,7.2749
2039AA,22.85
2039CC,24.26
2042AA,15.9377
2042CC,16.7471
2048A7,11.04
2048AA,16.41
2048AD,8.96
2048CA,9.33
2048CC,17.72
2057AA,322.28
2057CC,334.45
2060A6,9.38
2060AA,18.37
2060BB,15.68
2060C6,10.11
2060CC,19.81
2072AA,45.51
2072BB,38.17
2072CC,49.85
2072DG,10.87
2072FG,11.05
2075AA,8.19
2075BB,7.02
2075CC,8.87
2081AA,56.21
2081AB,8.98
2081AX,8.85
2081CC,64.05
2087AC,9.37
2087AY,45.26
2087CY,47.46
2096AQ,1.0625
2096CQ,11.4079
2099AY,53.4
2099CY,59.88
2102AA,3379
2102CC,3637
2105AA,1092
2105CC,1246
2111AA,36.75
2111BB,30.47
2111CC,39.89
2114A6,12.7074
2114AA,12.8928
2120A7,12.3
2120AA,1226
2120AD,16.91
2120BB,1036
2120CC,1346
2120CD,17.39
2123A7,11.06
2123AA,19.71
2123AD,21.69
2123BB,16.62
2123C7,11.18
2123CC,21.56
2126A7,8.9
2126AA,16.02
2126AD,16.12
2126AY,14.27
2126BB,13.34
2126CA,7.86
2126CC,17.56
2126CY,15.11
2138A6,12.14
2138AA,22.48
2138BB,19.75
2138C6,12.92
2138CC,23.87
2141AA,30.43
2141CC,34.88
21428286,93.08
21529267,106.72
21629311,94.59
22796865,108.23
22881168,91.63
22908917,109.17
23116938,981.2
239655,2401.09
239659,2741.78
2468721,80.95
255790,843.62
2908778,71.05
2909491,51.94
3228657,136.65
345234,2604.54
3528013,105.9
415,17.38
454,17.99
469164,141.54
4731657,6379037.94
4731689,3128100.57
4731720,5159675.79
4731723,1033.33
4732024,127.29
4732789,208.32
4734592,4933583.76
4734599,125.28
474019,2255.83
512615,1049.8
512723,458.93
512728,253.29
512729,251.13
564492,884.68
564500,385.12
594600,825.81
594601,1734.53
595225,836.16
595742,405.92
601323,2928.17
601325,3155.64
601326,3114.21
601328,3014.49
601333,1761.86
608429,311.65
618344,596.42
618667,2586.62
618671,2498.46
818577,134.16
828785,7152
849534,1689.88
855245,234.63
883660,183.49
92920,850.81
A103X,9.1636
A104X,7.1899
A105X,12.1665
A107X,7.8404
A108X,9.9084
A140X,11.1071
A144A,13.81
AAETA,23.4773
AAETY,146.1353
AAEYF,128.3649
AAPPF,128.8878
AASBG,11.0627
AASBJ,4.9216
AB01X,9.5387
AB02X,8.8082
AB06X,13.9194
AB2,12.526
ABAGPADAUDH,16.91
ABAGPADUSD,16.82
ABAGPADZARH,112.45
ABAGPAEUR,55.84
ABAGPAHEDGE,33.77
ABAGPAUSD,62.19
ABAGPBDAUDH,16.85
ABAGPBDUSD,16.89
ABAGPBDZARH,112.03
ABAGPBEUR,43.98
ABAGPBHEDGE,31.82
ABAGPBUSD,48.98
ABAGPCEUR,49.06
ABAGPCHEDGE,33.07
ABAGPCUSD,54.64
ABAGPIEUR,65.2
ABAGPIHEDGE,35.56
ABAGPIUSD,72.61
ABAGPS1EUR,68.36
ABAGPS1USD,76.13
ABAGPSDUSD,117.75
ABAIPA2EUR,23.9
ABAIPA2USD,26.62
ABAIPAAAUDH,14.06
ABAIPAADURH,13.51
ABAIPAAGBPH,13.8
ABAIPAAUSD,14.13
ABAIPAAZARH,93.26
ABAIPAEUR,7.66
ABAIPATAUDH,14.65
ABAIPATCADH,14.36
ABAIPATEUR,7.65
ABAIPATHEDGE,14.39
ABAIPATNZDH,13.85
ABAIPATUSD,8.52
ABAIPAUSD,8.53
ABAIPB2EUR,19.68
ABAIPB2USD,21.92
ABAIPBAAUDH,13.77
ABAIPBAUSD,13.86
ABAIPBAZARH,92.02
ABAIPBEUR,7.66
ABAIPBTAUDH,14.69
ABAIPBTEUR,7.7
ABAIPBTUSD,8.58
ABAIPBUSD,8.53
ABAIPC2EUR,29.74
ABAIPC2USD,33.12
ABAIPCEUR,7.66
ABAIPCUSD,8.53
ABAIPI2EUR,13.87
