基金代碼,基金名稱,風險等級,基金組別,股票%,債券%,現金%,其他%,大型%,中型%,小型%,市值(百萬美元),晨星評級
0101,摩根日本（日圓）基金,4,日本大型股票,1.08578,0.00000,-0.08578,0.00000,38.76186,39.94670,1.68673,777112.77916,4
0103,摩根亞太入息基金,3,亞洲股債混合,0.59997,0.33093,0.04254,0.02656,21.54984,5.95033,3.06195,12690.18358,4
0104,摩根太平洋證券基金,5,亞太區股票,0.97544,0.00000,0.01487,0.00970,31.06372,5.60562,0.00000,25568.82590,5
0105,摩根東協基金,5,東協國家股票,0.94486,0.00000,0.03960,0.01555,29.99555,7.43814,0.47327,10904.02073,3
0107,摩根菲律賓基金,5,其他亞太區股票,0.97798,0.00000,0.02202,0.00000,56.22578,3.33592,0.88588,6993.50653,None
0108,摩根泰國基金,5,泰國股票,0.99126,0.00000,0.00874,0.00000,14.61275,16.34804,4.29686,5034.11478,4
0109,摩根馬來西亞基金,5,其他亞太區股票,0.99611,0.00000,-0.00092,0.00481,34.79167,7.45753,6.79979,4814.30965,None
0110,摩根日本小型企業基金,4,日本中小型股票,1.08035,0.00000,-0.07930,-0.00105,37.32537,57.56365,8.14944,328336.07548,2
0111,摩根歐洲基金,4,歐洲大型價值型股票,0.99463,0.00000,0.00537,0.00000,26.16472,10.24036,4.21163,28645.74784,4
0113,摩根美國複合收益美配,2,美元多元化債券,0.00000,0.93254,0.06669,0.00077,None,None,None,None,3
0114,摩根新興市場債券美元,3,全球新興市場債券,0.00000,0.97954,0.01321,0.00725,None,None,None,None,4
0115,摩根非洲基金Ａ股累計,5,非洲股票,0.96847,0.00000,0.03153,0.00000,32.55503,37.43489,15.21930,5878.42158,3
0116,摩根環球企業債券美元,2,環球企業債券 - 美元對沖,0.00000,1.27955,-0.30130,0.02175,None,None,None,None,3
0117,摩根環球企業債券美配,2,環球企業債券 - 美元對沖,0.00000,1.27955,-0.30130,0.02175,None,None,None,None,3
0118,摩根多重收益歐元季配,3,歐元平衡型股債混合 - 全球,0.32255,0.71696,-0.06726,0.02775,12.45674,5.96417,0.70459,27234.38040,4
0119,摩根多重收益美元季配,3,美元平衡型股債混合,0.32255,0.71696,-0.06726,0.02775,12.45674,5.96417,0.70459,27234.38040,5
0122,摩根多重收益美元月配,3,美元平衡型股債混合,0.32255,0.71696,-0.06726,0.02775,12.45674,5.96417,0.70459,27234.38040,5
0126,摩根澳洲基金,4,澳洲及紐西蘭股票,0.96815,0.00000,0.03185,0.00000,33.85663,9.84301,7.84383,13542.63706,4
0129,摩根東方小型企業基金,5,亞洲不包括日本中小型股票,0.96200,0.00000,0.00022,0.03778,37.46098,39.86907,12.19651,1903.12009,4
0130,摩根南韓基金,5,韓國股票,0.96360,0.00000,0.02640,0.01000,26.30227,24.35556,12.26488,5155.61347,3
0136,摩根東方基金,5,亞洲不包括日本股票,0.98198,0.00000,0.00787,0.01015,14.17603,6.79086,0.84810,29946.39331,2
0137,摩根美國基金美元Ａ,4,美國大型均衡型股票,0.99429,0.00000,0.00571,0.00000,35.79595,28.85643,2.31182,41253.84905,None
0141,摩根新興歐洲股票Ａ歐,5,新興歐洲股票,0.96007,0.00000,0.03837,0.00156,32.82458,27.64897,10.28604,8876.31827,2
0142,摩根美國科技基金,4,產業股票 - 科技,0.98101,0.00000,0.01899,0.00000,35.28131,34.36098,11.91966,16069.05950,3
0144,摩根太平洋科技基金,5,產業股票 - 科技,0.91641,0.00000,0.06710,0.01649,12.64139,13.20602,3.98870,21394.73826,3
0146,摩根印度基金,5,印度股票,1.00030,0.00000,-0.00030,0.00000,30.65766,8.65355,0.00000,12927.16213,3
0147,摩根環球靈活策略股票,3,全球大型均衡型股票,0.92160,0.00000,0.07840,0.00000,37.29636,12.36452,4.21512,32187.88682,None
0148,摩根美國小型企業分派,4,美國小型股票,0.96469,0.00000,0.03531,0.00000,0.00000,35.27537,43.80064,2685.41015,None
0149,摩根歐洲小型企業歐元,4,歐洲小型股票,0.98769,0.00000,0.01231,0.00000,0.64651,54.42011,41.16126,1572.30448,3
0150,摩根美國價值基金,4,美國大型價值型股票,0.98273,0.00000,0.01519,0.00208,36.64956,26.08272,0.84992,45395.78510,3
0151,摩根拉丁美洲基金,5,拉丁美洲股票,0.96666,0.00000,0.03334,0.00000,34.78456,11.67917,10.27307,10287.11662,4
0152,摩根歐洲動力基金歐元,4,歐洲大型均衡型股票,0.96269,0.00000,0.02604,0.01128,28.90514,10.71697,1.22400,31041.73295,None
0154,摩根新興歐洲中東非洲,5,歐非中東股票,0.95455,0.00598,0.00908,0.03040,28.16694,28.23583,10.98115,9348.14595,4
0155,摩根新興市場債歐元,3,全球新興市場債券 - 歐元傾向,0.00000,0.97954,0.01321,0.00725,None,None,None,None,2
0156,摩根新興市場債券歐配,3,全球新興市場債券 - 歐元傾向,0.00000,0.97954,0.01321,0.00725,None,None,None,None,3
0157,摩根中國基金,5,中國股票,0.96709,0.00000,0.01246,0.02045,18.99392,6.37227,1.21494,32509.59484,3
0158,摩根大中華基金,5,大中華股票,0.94888,0.00000,0.03037,0.02075,19.31078,8.88757,1.04507,27364.26092,4
0159,摩根全方位新興市場,5,全球新興市場股票,0.96640,0.00000,0.02947,0.00413,24.29705,7.83197,1.66258,26063.21061,3
0162,摩根環球高收益美元配,3,全球高收益債券,0.00000,0.96540,0.02963,0.00496,None,None,None,None,3
0164,摩根巴西基金,5,巴西股票,0.99585,0.00000,0.00415,0.00000,35.90567,12.42403,7.68731,10930.75578,3
0165,摩根俄羅斯基金,5,俄羅斯股票,0.98233,0.00000,0.01767,0.00000,37.00650,20.05282,15.73774,9523.49634,3
0166,摩根新興市場本地貨債,3,全球新興市場債券 - 本地貨幣,0.00000,1.40712,-0.48565,0.07853,None,None,None,None,2
0167,摩根新興本地貨債月配,3,全球新興市場債券 - 本地貨幣,0.00000,1.40712,-0.48565,0.07853,None,None,None,None,2
0168,摩根環球高收益債歐元,3,全球高收益債券 - 歐元對沖,0.00000,0.96540,0.02963,0.00496,None,None,None,None,2
0169,摩根環球高收益債美元,3,全球高收益債券,0.00000,0.96540,0.02963,0.00496,None,None,None,None,3
0170,摩根環球天然資源美元,4,產業股票 - 天然資源,0.96369,0.00000,0.02446,0.01185,33.97364,22.96338,11.58972,7409.38111,2
0171,摩根新興市場債券美配,3,全球新興市場債券,0.00000,0.97954,0.01321,0.00725,None,None,None,None,4
0180,摩根新興市場小型企業,5,全球新興市場中小型股票,0.95516,0.00000,0.03894,0.00590,23.10885,39.21243,28.54078,1804.96528,4
0195,摩根美國企業成長基金,4,美國大型增長型股票,0.97801,0.00000,0.02199,0.00000,39.73693,9.70412,0.00000,70495.33652,3
0196,摩根新興中東基金,5,非洲及中東股票,0.82485,0.08184,0.04832,0.04499,28.60189,35.96680,5.12140,6648.42084,2
0197,摩根環球天然資源歐元,4,產業股票 - 天然資源,0.96369,0.00000,0.02446,0.01185,33.97364,22.96338,11.58972,7409.38111,2
0198,摩根美國複合收益基金,2,美元多元化債券,0.00000,0.93254,0.06669,0.00077,None,None,None,None,3
0199,摩富環球地產入息基金,4,房地產 - 全球（間接）,0.95019,0.00000,0.02850,0.02131,38.35659,46.09769,7.02352,10346.55412,5
01A1,摩根亞太入息月配,3,亞洲股債混合,0.59997,0.33093,0.04254,0.02656,21.54984,5.95033,3.06195,12690.18358,4
01A2,摩根多重收益美元累計,3,美元平衡型股債混合,0.32255,0.71696,-0.06726,0.02775,12.45674,5.96417,0.70459,27234.38040,5
01A4,摩根環球高收益澳入息,3,高收益債券 - 其他對沖,0.00000,0.96540,0.02963,0.00496,None,None,None,None,None
01A5,摩根多重收益澳幣入息,3,其他股債混合,0.32255,0.71696,-0.06726,0.02775,12.45674,5.96417,0.70459,27234.38040,None
01A7,摩根歐洲小型Ａ累美元,4,歐洲小型股票,0.98769,0.00000,0.01231,0.00000,0.64651,54.42011,41.16126,1572.30448,None
01A8,摩根歐洲動力Ａ股美元,4,歐洲大型均衡型股票,0.96269,0.00000,0.02604,0.01128,28.90514,10.71697,1.22400,31041.73295,None
01A9,摩根日本基金日圓Ａ累,4,日本大型股票,0.98596,0.00000,0.01404,0.00000,37.84687,31.71688,0.73279,874933.51136,4
01B1,摩根日本基金美元Ａ累,4,日本股票 - 貨幣對沖,0.98596,0.00000,0.01404,0.00000,37.84687,31.71688,0.73279,874933.51136,None
01B2,摩根美元貨幣(美元)A股累計,1,貨幣市場 - 美元（短期）,0.00000,0.00000,0.94522,0.05478,None,None,None,None,None
01B3,摩根環球醫療技Ａ累計,3,產業股票 - 健康護理,0.97654,0.00000,0.01193,0.01153,21.63226,7.58074,9.21419,31398.91678,4
01B4,摩根多重收益澳幣累計,3,其他股債混合,0.32255,0.71696,-0.06726,0.02775,12.45674,5.96417,0.70459,27234.38040,None
01B5,摩根日本日圓基金美累,4,日本股票 - 貨幣對沖,1.08578,0.00000,-0.08578,0.00000,38.76186,39.94670,1.68673,777112.77916,None
01B6,摩根歐洲動力Ａ美對累,4,歐洲股票 - 貨幣對沖,0.96269,0.00000,0.02604,0.01128,28.90514,10.71697,1.22400,31041.73295,None
01B7,摩根歐小型美對沖Ａ累,4,歐洲股票 - 貨幣對沖,0.98769,0.00000,0.01231,0.00000,0.64651,54.42011,41.16126,1572.30448,None
0204,施羅德日本優勢,4,日本大型股票,0.99042,0.00000,0.00958,0.00000,17.85313,30.63089,30.46216,273272.60935,4
0205,施羅德環球能源基金,4,產業股票 - 能源,0.98481,0.00000,0.01519,0.00000,21.54714,22.46060,20.27566,6668.85518,1
0222,施羅環球美小型公司A1,4,美國小型股票,0.90907,0.00464,0.07457,0.01172,0.00000,25.80210,47.26478,2575.97361,4
0224,施羅環球美國大型股票,4,美國大型均衡型股票,0.98899,0.00000,0.01101,0.00000,27.99797,15.34195,0.00000,84786.20245,3
0225,施羅環球歐元股票Ａ１,4,歐元區大型股票,0.96562,0.00000,0.01618,0.01820,41.83997,22.37469,2.95069,15298.80404,4
0226,施羅環球歐洲收益股票,4,歐洲股票收益,0.99638,0.00000,-0.00326,0.00688,36.42637,15.84759,17.35590,11765.74112,3
0227,施羅環球歐洲大型股,4,歐洲大型均衡型股票,0.95813,0.00000,0.02599,0.01589,39.22854,12.29946,0.00000,24291.79751,3
0229,施羅環球英國股票Ａ１,4,英國大型均衡型股票,0.92471,0.00000,0.05642,0.01887,20.76146,26.21196,6.00079,13191.88651,3
0230,施羅環球義大利Ａ１,4,義大利股票,0.98356,0.00000,0.01644,0.00000,17.29360,41.33672,12.57125,6839.94398,3
0231,施羅環球太平洋股票Ａ,5,亞洲不包括日本股票,0.97399,0.00000,0.01223,0.01378,23.59959,4.32867,1.70045,25072.51571,4
0233,施羅環球日本小型Ａ１,4,日本中小型股票,0.99428,0.00000,0.00572,0.00000,4.23313,40.98096,46.75417,85580.23199,3
0234,施羅環球新興市場Ａ１,5,全球新興市場股票,0.98256,0.00023,0.00713,0.01009,21.35265,7.51544,0.64827,33375.96038,3
0237,施羅環球美國債券Ａ１,2,美元多元化債券,0.00000,0.91632,0.08408,-0.00040,None,None,None,None,3
0238,施羅環球亞洲債券Ａ１,2,亞洲債券,0.00000,0.71940,0.13754,0.14305,None,None,None,None,2
0239,施羅德環球債券Ａ１,2,全球債券,0.00000,0.97066,0.00562,0.02371,None,None,None,None,4
0240,施羅環球歐元政府債券,2,歐元政府債券,0.00000,0.87367,0.11728,0.00905,None,None,None,None,3
0241,施羅環球企業債券,2,環球企業債券 - 美元對沖,0.00000,0.90074,0.06801,0.03125,None,None,None,None,2
0242,施羅德環球新興債美元,2,全球新興市場債券,0.00000,0.58343,0.41462,0.00195,None,None,None,None,2
0243,施羅德環球歐元短期債,2,歐元多元化債券 - 短期,0.00000,0.73027,0.25844,0.01128,None,None,None,None,2
0244,施羅德環球歐元債Ａ１,2,歐元多元化債券,0.00000,0.93445,0.05356,0.01199,None,None,None,None,4
0245,施羅德環球亞洲債USD,2,亞洲債券,0.00000,0.71940,0.13754,0.14305,None,None,None,None,2
0246,施羅德環球新興債美元,2,全球新興市場債券,0.00000,0.58343,0.41462,0.00195,None,None,None,None,2
0247,施羅德環球歐小型歐元,4,歐洲小型股票,0.96993,0.00000,0.02190,0.00817,0.00000,24.67646,56.09325,772.22467,2
0248,施羅德環球太平洋Ａ１,5,亞洲不包括日本股票,0.97399,0.00000,0.01223,0.01378,23.59959,4.32867,1.70045,25072.51571,4
0249,施羅德環球日本股Ａ１,4,日本大型股票,1.01511,0.00000,-0.00594,-0.00917,25.07316,27.03706,7.25885,1018481.85647,3
0250,施羅德環球新興亞Ａ１,5,亞洲不包括日本股票,0.91365,0.00000,0.07619,0.01016,22.43270,3.54301,1.86491,29344.51424,4
0253,施羅德環球新興債EUR,2,全球新興市場債券 - 歐元傾向,0.00000,0.58343,0.41462,0.00195,None,None,None,None,1
0257,施羅德環球新興歐A1,5,新興歐洲股票,0.98553,0.00000,0.01447,0.00000,24.72599,35.48516,21.95106,6169.78870,5
0259,施羅德環球韓國股票A1,5,韓國股票,0.97254,0.00000,0.02280,0.00467,25.55171,23.46618,21.31815,3319.57837,2
0260,施羅德環球拉丁美A1,5,拉丁美洲股票,0.94977,0.00000,0.02739,0.02284,35.44082,6.78570,1.03437,15994.81112,2
0261,施羅德環球歐元流動A,2,貨幣市場 - 其他,0.00000,0.10999,0.86185,0.02816,None,None,None,None,None
0262,施羅德環球美元流動A,2,貨幣市場 - 其他,0.00000,0.18144,0.81856,0.00000,None,None,None,None,None
0266,施羅德環球能源基金,4,產業股票 - 能源,0.98481,0.00000,0.01519,0.00000,21.54714,22.46060,20.27566,6668.85518,1
0267,施羅德環球瑞士股票,4,瑞士大型股票,0.97061,0.00000,0.02939,0.00000,15.36918,22.73154,11.95728,20435.41823,2
0268,施羅環球瑞士中小股A1,4,瑞士中小型股票,0.98013,0.00000,0.01987,0.00000,11.72239,50.86631,29.45290,2372.11236,3
0270,施羅環球計量精選價值,3,全球大型價值型股票,0.98773,0.00000,0.01014,0.00214,24.12975,26.27283,7.85254,18415.50325,2
0271,施羅環球小型公司A1,4,全球小型股票,0.96300,0.00000,0.03034,0.00666,4.02797,49.18275,36.41786,2611.78991,3
0272,施羅美國中小型股票A1,4,美國中型股票,0.90899,0.00643,0.07158,0.01300,1.12449,63.75374,23.24103,5544.99928,4
0273,施羅亞洲債券基金(EUR,2,亞洲債券,0.00000,0.71940,0.13754,0.14305,None,None,None,None,2
0274,施羅亞洲債券基金配息,2,亞洲債券,0.00000,0.71940,0.13754,0.14305,None,None,None,None,2
0277,施羅新興歐洲基金美元,5,新興歐洲股票,0.98553,0.00000,0.01447,0.00000,24.72599,35.48516,21.95106,6169.78870,5
0278,施羅環球歐洲小型公司,4,歐洲小型股票,0.96993,0.00000,0.02190,0.00817,0.00000,24.67646,56.09325,772.22467,2
0279,施羅日小公司(歐元),4,日本中小型股票,0.99428,0.00000,0.00572,0.00000,4.23313,40.98096,46.75417,85580.23199,3
0280,施羅日小公司(美元),4,日本中小型股票,0.99428,0.00000,0.00572,0.00000,4.23313,40.98096,46.75417,85580.23199,3
0281,施羅環球新興亞洲歐元,5,亞洲不包括日本股票,0.91365,0.00000,0.07619,0.01016,22.43270,3.54301,1.86491,29344.51424,4
0282,施羅環球新興市場歐元,5,全球新興市場股票,0.98256,0.00023,0.00713,0.01009,21.35265,7.51544,0.64827,33375.96038,3
0283,施羅環球拉美(EUR)A1,5,拉丁美洲股票,0.94977,0.00000,0.02739,0.02284,35.44082,6.78570,1.03437,15994.81112,2
0284,施羅德環球進取股票,3,全球大型均衡型股票,0.96100,0.00000,0.03900,0.00000,27.28452,8.15905,0.00000,64812.08953,3
0285,施羅環球亞太地產股票,5,房地產 - 亞洲（間接）,0.95468,0.00000,0.04532,0.00000,49.39927,3.80667,0.00000,11915.94484,2
0286,施羅環球印度股票A1,5,印度股票,0.97459,0.00000,0.02474,0.00067,28.03181,10.27672,1.08177,12853.58500,3
0287,施羅德環球氣候A1美,3,產業股票 - 環境生態,0.97676,0.00000,0.02324,0.00000,35.56312,20.51653,8.67269,16417.77560,4
0289,施羅德新興股債優勢美,5,全球新興市場股票,0.98033,0.00000,0.01967,0.00000,22.82579,16.41915,8.10012,13776.18491,3
0290,施羅德新興股債優勢歐,5,全球新興市場股票,0.98033,0.00000,0.01967,0.00000,22.82579,16.41915,8.10012,13776.18491,3
0291,施羅德環球亞洲收益不,5,亞太區不包括日本股票,0.94736,0.00000,0.02747,0.02517,27.57859,16.57852,0.00000,15185.44796,4
0292,施羅德環球香港股票A1,4,香港股票,0.98182,0.00000,0.01711,0.00108,25.68171,3.06543,0.00000,200595.37873,4
0293,施羅德環球金磚四國A1,5,金磚四國股票,0.99372,0.00000,0.00628,0.00000,14.20019,6.31973,0.75869,46077.28936,4
0294,施羅德環球金磚四國A1,5,金磚四國股票,0.99372,0.00000,0.00628,0.00000,14.20019,6.31973,0.75869,46077.28936,4
0295,施羅德環球中東海灣美,5,非洲及中東股票,0.90837,0.03559,0.04425,0.01180,26.92387,34.62655,16.36632,3780.60264,4
0296,施羅德環球中東海灣歐,5,非洲及中東股票,0.90837,0.03559,0.04425,0.01180,26.92387,34.62655,16.36632,3780.60264,4
0297,施羅德環球大中華A1,5,大中華股票,0.91371,0.00000,0.08047,0.00582,22.87076,6.69861,2.13279,22841.72592,4
0298,施羅德環球新興債澳配,2,其他債券,0.00000,0.58343,0.41462,0.00195,None,None,None,None,None
0299,施羅德香港股票美元,4,香港股票,0.98182,0.00000,0.01711,0.00108,25.68171,3.06543,0.00000,200595.37873,3
02A3,施羅德環球股息Ａ美累,3,全球股票收益,0.98664,0.00000,0.02638,-0.01302,25.63301,23.77612,7.34839,23454.24909,3
02A4,施羅德環股息ＡＸ美配,3,全球股票收益,0.98664,0.00000,0.02638,-0.01302,25.63301,23.77612,7.34839,23454.24909,None
02A5,施羅德環球股息Ａ歐累,3,全球股票 - 貨幣對沖,0.98664,0.00000,0.02638,-0.01302,25.63301,23.77612,7.34839,23454.24909,None
02A6,施羅德環球股息Ａ澳配,3,全球股票 - 貨幣對沖,0.98664,0.00000,0.02638,-0.01302,25.63301,23.77612,7.34839,23454.24909,None
02A7,施羅環球歐洲小型股A,4,歐洲股票 - 貨幣對沖,0.96993,0.00000,0.02190,0.00817,0.00000,24.67646,56.09325,772.22467,None
