date,net
2006/07/20,24.15
2006/07/21,23.54
2006/07/24,24.42
2006/07/25,24.98
2006/07/26,25.51
2006/07/27,25.14
2006/07/28,25.2
2006/07/31,25.63
2006/08/01,25.86
2006/08/02,25.78
2006/08/03,25.64
2006/08/04,25.19
2006/08/07,25.42
2006/08/08,25.32
2006/08/09,25.47
2006/08/10,25.51
2006/08/11,25.33
2006/08/14,24.86
2006/08/16,24.94
2006/08/17,24.62
2006/08/18,24.97
2006/08/21,24.97
2006/08/22,25.32
2006/08/23,25.01
2006/08/24,25.11
2006/08/25,25.43
2006/08/28,25
2006/08/29,25
2006/08/30,24.56
2006/08/31,24.58
2006/09/01,24.96
2006/09/04,24.84
2006/09/05,25.31
2006/09/06,24.52
2006/09/07,24.47
2006/09/08,23.97
2006/09/11,23.03
2006/09/12,22.96
2006/09/13,23.43
2006/09/14,22.79
2006/09/15,22.86
2006/09/18,23.38
2006/09/19,22.87
2006/09/20,22.33
2006/09/21,22.62
2006/09/22,22.2
2006/09/25,22.3
2006/09/26,22.8
2006/09/27,23.11
2006/09/28,23.23
2006/09/29,23.28
2006/09/30,23.28
2006/10/02,22.84
2006/10/03,22.08
2006/10/04,22.43
2006/10/05,22.78
2006/10/06,22.97
2006/10/09,22.79
2006/10/10,23.24
2006/10/11,22.9
2006/10/12,23.43
2006/10/13,23.84
2006/10/16,24.42
2006/10/17,24.12
2006/10/18,24.04
2006/10/19,24.56
2006/10/20,24.27
2006/10/23,24.37
2006/10/24,24.92
2006/10/25,25.29
2006/10/26,25.04
2006/10/27,24.64
2006/10/30,24.27
2006/10/31,24.37
2006/11/02,23.98
2006/11/03,24.54
2006/11/06,24.79
2006/11/07,24.44
2006/11/08,24.91
2006/11/09,25.04
2006/11/10,24.68
2006/11/13,24.62
2006/11/14,24.76
2006/11/15,25.09
2006/11/16,24.49
2006/11/17,24.66
2006/11/20,24.62
2006/11/21,25.07
2006/11/22,24.76
2006/11/23,24.72
2006/11/24,24.46
2006/11/27,24.21
2006/11/28,24.54
2006/11/29,25.26
2006/11/30,25.14
2006/12/01,25.04
2006/12/04,24.94
2006/12/05,25.05
2006/12/06,24.98
2006/12/07,24.9
2006/12/08,24.82
2006/12/11,24.94
2006/12/12,24.73
2006/12/13,24.97
2006/12/14,25.4
2006/12/15,25.32
2006/12/18,24.59
2006/12/19,24.78
2006/12/20,24.45
2006/12/21,24.39
2006/12/22,24.2
2006/12/27,24.43
2006/12/28,24.38
2006/12/29,24.12
2007/01/02,23.94
2007/01/03,23.12
2007/01/04,22.8
2007/01/05,23.07
2007/01/08,23.16
2007/01/09,22.89
2007/01/10,22.67
2007/01/11,22.69
2007/01/12,23.24
2007/01/15,23.23
2007/01/16,23
2007/01/17,23.13
2007/01/18,22.94
2007/01/19,23.55
2007/01/22,23.46
2007/01/23,23.94
2007/01/24,24.2
2007/01/25,23.63
2007/01/26,23.82
2007/01/29,23.64
2007/01/30,24.13
2007/01/31,24.17
2007/02/01,24.34
2007/02/02,24.4
2007/02/05,24.52
2007/02/06,24.39
2007/02/07,24.12
2007/02/08,24.22
2007/02/09,24.17
2007/02/12,23.87
2007/02/13,24.08
2007/02/14,24.01
2007/02/15,23.77
2007/02/16,23.85
2007/02/19,23.83
2007/02/20,23.61
2007/02/21,23.88
2007/02/22,24.17
2007/02/23,24.14
2007/02/26,24.33
2007/02/27,23.28
2007/02/28,23.34
2007/03/01,23.43
2007/03/02,22.99
2007/03/05,22.76
2007/03/06,23.22
2007/03/07,23.54
2007/03/08,23.7
2007/03/09,23.73
2007/03/12,23.58
2007/03/13,23.21
2007/03/14,23.39
2007/03/15,23.31
2007/03/16,23.02
2007/03/19,23.51
2007/03/20,23.63
2007/03/21,24.01
2007/03/22,24.28
2007/03/23,24.5
2007/03/26,24.61
2007/03/27,24.54
2007/03/28,24.5
2007/03/29,24.81
