tejId,currentStatus,fundTongYiNumber,isinCode,fundChineseName,fundEnglishName,issueCompanyName,custodianInstitutionName,guaranteeAgencyName,generalAgentAbbreviation,issueInstitution,foundDate,enterDate,ipoDate,clearDate,clearDescription,fundScale,marketType,regionType,type,category,investTarget,revocationDate,couponMode,tejCategory,associationCategory,riskReturnLevel,registerPlace,otherCurrencyType,saleInsitution,fundLinkProduct,isMajorFund,majorFundId,isUmbrellaFund,umbrellaMember1,umbrellaMember2,totalIssueAmount,foundAsset,currencyType,txUnit,managementFeeUpperBoundPercent,managementFeeLowerBoundPercent,custodianFeeUpperBoundPercent,custodianFeeLowerBoundPercent,salesChargeUpperBoundPercent,salesChargeLowerBoundPercent,redemptionFee,beneficiacryMeetingFeeTenThousand,firstRedemptionDate,turnOpenDate,currentManagerA,exFund1OfManagerA,exFund2OfManagerA,currentManagerB,exFund1OfManagerB,exFund2OfManagerB,investTarget1,investTarget2,investTarget3,investTarget4,investTarget5,investTarget6,investTarget7,investTarget8,investTarget9,investTarget10,investTarget11,investTarget12,investTarget13,investTarget14,investTarget15,investTarget16,investTarget17,investTarget18,originalFundName,originalFoundDate,changeName1,changeNameDate1,changeName2,changeNameDate2,changeName3,changeNameDate3,changeName4,changeNameDate4,changeCodeDescription1,changeCodeDescription2,changeCodeDescription3
0002 第一金福元,Current,00968521,TW000T0302Y7,第一金福元證券投資信託基金,FSITC Fu Yuan Fund,第一金證券投資信託,國泰世華,,,,1988/03/07,1988/03/07,1988/06/28,2014/06/25,被併入 T0314Y  第一金電子,,,,開放,"國內募集,投資國內",股票,,,開放式一般型,開放式一般型,RR5,,,,,Y,0002,N,,,-,"5,000,000",NTD,"1,000",1.5,1.2,0.2,0.1,1.6,0.8,50,0,1997/09/18,1999/06/22,俞瑞華(2012/05/16到任),第一金小型精選證券投資信託基金(2014/09/06~2014/11/11),第一金福元證券投資信託基金(2012/05/16~2014/06/25),,,,台灣上市股票、公債、公司債、可轉換公司債、金融債券。,,,,,,,,,,,,,,,,,,建弘福元,1988/03/07,第一金福元,2009/05/01,,,,,,,,,
0003 匯豐成長,Current,01050013,TW0000003003,匯豐成長證券投資信託基金,HSBC Taiwan Growth Fund,匯豐中華證券投資信託,兆豐商銀,,,,1988/04/12,1988/04/12,1988/07/12,2011/11/25,被併入 T0415Y  匯豐台灣精典,,,,開放,"國內募集,投資國內",股票,,,開放式一般型,開放式一般型,,,,,,Y,0003,N,,,-,"3,482,970",NTD,"1,000",1.5,1.2,0.2,0.18,2,0,50,0,1997/08/25,1998/01/08,王宗傑(2009/12/21到任),匯豐龍騰電子證券投資信託基金(2011/07/29~2013/04/30),匯豐台灣精典證券投資信託基金(2010/09/01~2011/09/30),,,,台灣上市股票，部份資金可投資公債、公司債及金融債券。,,,,,,,,,,,,,,,,,,中華成長基金,1988/04/12,匯豐成長,2001/12/10,,,,,,,,,
0006 荷銀鴻福,Current,00972476,TW0000006006,荷銀鴻福證券投資信託基金,ABN AMRO Fortune Fund,荷銀證券投資信託,台北富邦,,,,1990/10/04,1990/10/06,1990/12/20,2000/12/04,清算,,,,開放,"國內募集,投資國內",股票,,,開放式一般型,開放式一般型,,,,,,Y,0006,N,,,-,"3,914,600",NTD,"1,000",0.7,0.4,0.14,0.12,0.8,0,100,0,1997/08/12,1998/02/26,邱益群(1960生)(1999/07/22到任),元大高科技證券投資信託基金(2002/11/01~2004/08/15),中國信託精穩證券投資信託基金(2001/03/09~2001/10/31),,,,台灣之股票 (成長收益型 )。,,,,,,,,,,,,,,,,,,光華鴻福,1990/10/04,荷銀鴻福,2000/10/16,,,,,,,,,
0007 匯豐成龍,Current,01013067,TW0000007004,匯豐成龍證券投資信託基金,HSBC Taiwan Dragon Fund,匯豐中華證券投資信託,兆豐商銀,,,,1991/12/06,1992/01/11,1992/01/29,2008/01/21,被併入 T0413Y  匯豐富泰二號貨幣市場基金,,,,開放,"國內募集,投資國內",債券,,,類貨幣市場,類貨幣市場,,,,,,Y,0007,N,,,-,"5,000,000",NTD,"1,000",0.25,0,0.08,0,0,0,50,0,,1996/02/09,許(豊弟)勻(1973生)(2007/07/09到任),安聯四季回報債券組合證券投資信託基金(2012/07/17~2014/02/28),野村新興高收益債組合基金（月配類型）(2012/02/06~2012/05/31),,,,台灣公債、公司債等 (投資債券比率應占資產60% ) 投資上市股票及可轉換公司,債之比率最多不得超過30%。,經理公司應以分散風險、確保基金之安全，並積極維持收益之安定為目標。以誠,信原則及專業經營方式，將本基金投資於台灣境內之政府公債、公司債（含次順,位公司債）、金融債券（含次順位金融債券）依金融資產證券化條例核准或申報,生效公開招募之金融資產證券化受益證券或資產基礎證券或其他經金管會核准於,國內募集發行之國際金融組織債券。,本基金自95年07月14日起改依類貨幣型基金之規範：,1.投資於買賣斷債券總額不得超過基金淨資產價值之30％。,2.投資於買賣斷債券之加權平均存續期間不得超過3 年。,3.自95年01月01日以後購入之每一債券剩餘到期日須在5 年以內。,,,,,,,,中華成龍基金,1991/12/06,匯豐成龍,2001/12/10,,,,,,,,,
0009 建弘廣福,Current,01013088,TW0000009000,建弘廣福證券投資信託基金,NITC Great Fortune Fund,第一金證券投資信託,兆豐商銀,,,,1991/12/13,1991/12/13,1992/02/24,2006/08/23,清算,,,,開放,"國內募集,投資國內",股票+債券,,,平衡--一般股票型,平衡--一般股票型,,,,,,Y,0009,N,,,-,"5,000,000",NTD,"1,000",0.7,0,0.14,0,2,0.5,50,0,,1994/09/17,陳國清(1968生)(2006/02/14到任),第一金亞洲新興市場證券投資信託基金(2010/03/18~2010/08/31),第一金亞洲科技證券投資信託基金(2008/04/01~2008/08/31),,,,台灣債券、金融債券、公司股票、公司債 (成長收益型) 投資債券之比率不低於,淨資產70% 。,,,,,,,,,,,,,,,,,建弘廣福,1991/12/13,,,,,,,,,,,
0010 兆豐國際萬寶,Current,01013101,TW0000010008,兆豐國際萬寶證券投資信託基金,Mega Wan Pao Fund,兆豐國際證券投資信託,上海銀,,,,1992/01/14,1992/01/14,1992/03/06,2008/01/18,被併入 T0101Y  兆豐國際寶鑽貨幣市場基金,,,,開放,"國內募集,投資國內",債券,,,類貨幣市場,類貨幣市場,,,,,,Y,0010,N,,,-,"5,000,000",NTD,"1,000",0.2,0,0.07,0,1,0,0,0,,1995/08/08,楊子慶(2007/10/01到任),兆豐國際人民幣貨幣市場證券投資信託基金(2014/12/02~2015/04/15),兆豐國際萬寶證券投資信託基金(2007/10/01~2008/01/18),,,,台灣債券 (收益成長型 )債券投資不得低於淨資產60% 上市股票不得高於30%。,本基金以分散風險之方式，經由投資已上市或未上市之公債、公司債、金融債券,、受益證券或資產基礎證券或依不動產證券化條例募集之不動產資產信託受益證,券、經金管會核准於我國境內募集發行之國際金融組織債券，及其他經金管會所,核准之投資。如其他相關法令修改或經金管會核准，本基金得投資於櫃檯買賣之,債券或在期貨市場開放後按金管會之規定可投資於債券相關期貨、選擇權或衍生,之金融產品。,本基金於民國95年11月01日起轉型為「類貨幣市場基金」，其特色為：,(a) 投資於買賣斷債券總額不得超過基金淨資產價值之30％。,(b) 投資於買賣斷債券之加權平均存續期間不得超過3 年。,(c) 自95年01月01日以後購入之每一債券剩餘到期日須在5 年以內。,,,,,,,,國際萬寶債券,1992/01/14,兆豐國際萬寶,2008/01/02,,,,,,,,,
0011 景順和信,Current,00974024,TW0000011006,景順和信證券投資信託基金,Invesco Growth Fund,景順證券投資信託,兆豐商銀,,,,1993/02/11,1993/02/11,1993/03/26,2005/11/18,被併入 T0601Y  景順潛力,,,,開放,"國內募集,投資國內",股票,,,開放式一般型,開放式一般型,,,,,,Y,0011,N,,,-,"5,000,000",NTD,"1,000",1.2,0,0.14,0,1.4,0.8,50,0,1997/11/18,1999/01/29,陳俊穎(2005/07/29到任),元大績效證券投資信託基金(2009/12/28~2013/05/26),日盛上選證券投資信託基金(2009/03/23~2009/10/01),,,,台灣上市股票、公債、公司債、金融債券等投資股票總額不低於淨資產75% 。,,,,,,,,,,,,,,,,,,中信和信基金,1993/02/11,景順中信和信基金,2001/09/27,景順和信,2003/11/14,,,,,,,
0012 元大多元基金,Current,77537509,TW000T0510Y5,元大多元證券投資信託基金,Yuanta Duo Yuan Equity Fund,元大證券投資信託,兆豐商銀,,,,1993/02/06,1993/02/06,1993/03/26,2015/11/24,被併入 T0567Y  元大2001基金,,,,開放,"國內募集,投資國內",股票,,,開放式一般型,開放式一般型,RR4,,,,,Y,0012,N,,,-,"5,000,000",NTD,"1,000",1.2,0,0.15,0,1.5,0.8,50,0,1998/02/19,1999/01/29,許晉誠(2015/08/12到任),元大多元證券投資信託基金(2015/08/12~2015/11/24),元大新主流證券投資信託基金(2013/08/15~2013/12/14),,,,台灣上市股票、公債、公司債、可轉換公司債、金融債券投資股票總額不低於淨,資產75% 。,,,,,,,,,,,,,,,,,元大多元,1993/02/06,元大寶來多元基金,2012/10/26,元大多元基金,2015/10/15,,,,,,,
0016 保誠先鋒,Current,76945871,TW0000016005,保誠先鋒證券投資信託基金,PCA Pioneer Fund,瀚亞證券投資信託,英商渣打,,,,1993/03/01,1993/03/01,1993/04/27,2001/11/01,清算,,,,開放,"國內募集,投資國內",股票,,,開放式一般型,開放式一般型,,,,,,Y,0016,N,,,-,"5,000,000",NTD,"1,000",1.2,0,0.16,0,0.8,0,0,0,1997/03/18,1997/06/06,林秋宗(1967生)(2001/10/01到任),富邦台灣企業社會責任證券投資信託基金-A類(2012/02/10~2013/04/12),富邦台灣企業社會責任證券投資信託基金-B類(2012/02/10~2013/04/12),,,,台灣上市股票、公司債等 (投資股票不低於淨資產75%  )。,,,,,,,,,,,,,,,,,,京華先鋒基金,1993/03/01,保誠先鋒,2001/01/30,,,,,,,,,
0019 萬國鑽石,Current,00974087,TW0000019009,萬國鑽石證券投資信託基金,Fortune Diamond Fund,瑞銀證券投資信託,中信局,,,,1993/03/06,1993/03/06,1993/06/08,1997/12/07,清算,,,,開放,"國內募集,投資國內",股票,,,開放式一般型,開放式一般型,,,,,,Y,0019,N,,,-,"5,000,000",NTD,"1,000",1.2,0,0.14,0,0.5,0,0,0,1997/05/21,1997/09/25,連聰德(1996/08/14到任),瑞銀強勢證券投資信託基金(1998/03/31~1998/06/02),萬國鑽石證券投資信託基金(1996/08/14~1997/12/07),,,,台灣上市股票、上市及未上市公司債、短期票券等。投資股票總額不低於淨資產,75% 。,,,,,,,,,,,,,,,,,萬國鑽石,1993/03/06,,,,,,,,,,,
