fundRichId,20160909nav,20160912nav,20160913nav
099022,77.66,76.24,75.87
090003,1093.842,1064.966,1072.089
090004,10.097,9.795,9.87
090002,249.208,240.834,243.315
090001,8.311,8.003,8.093
046016,26.4,26.73,26.26
046002,17.12,17.34,17.06
046021,46.94,47.48,46.81
046041,26.51,26.83,26.49
046015,26.42,26.35,26.28
046001,17.14,17.1,17.08
046024,5.86,5.85,5.83
046011,12.9,12.88,12.86
046027,5.82,5.81,5.79
046040,9.92,9.91,9.88
046014,24.38,24.54,24.25
046005,9.99,10.07,9.95
046020,30.07,30.27,29.91
046006,18.43,18.57,18.38
046019,24.59,24.76,24.46
046022,14.17,14.17,14.16
046023,8.79,8.79,8.79
046007,25.07,25.09,24.58
046033,20.07,20.1,19.72
046018,17.54,17.55,17.51
046017,10.68,10.68,10.65
046030,15.99,16.25,16.03
046032,23.14,23.43,23.05
046031,15.64,15.85,15.59
046025,14.47,14.47,14.4
046026,11.19,11.19,11.14
046037,11.25,11.26,11.1
046036,12.82,12.83,12.66
046008,36.76,36.58,36.52
046035,22.08,21.98,21.98
046009,18,17.91,17.88
046029,17.84,17.75,17.72
046028,10.43,10.39,10.37
046042,20.5,20.62,20.27
046010,31.34,31.55,31.05
046012,11.91,11.97,11.79
046013,17.34,17.33,17.28
046043,10.51,10.51,10.48
033034,945.3,927.22,920.63
033047,3601,3576,3546
033048,111.26,111.36,110.15
033049,189.87,188.62,187.03
033035,354.07,356.35,351.85
033054,1270.85,1265.65,1259.73
033013,116.27,115.8,115.26
033053,265.07,263.98,262.74
033007,902.76,890,885.12
033006,224.06,220.89,219.68
033005,234.77,232.32,231.22
033050,1519.97,1523.23,1481.8
033012,1048.57,1064.97,1056.06
033046,3214.44,3262.24,3228.6
033059,412.48,417.7,412.33
033056,243.8,246.88,243.71
033057,3022.18,3060.95,3021.18
033058,369.44,374.09,369.31
033055,242.06,245.16,242.01
033030,1986.78,2003.8,1984.58
033029,2027.33,2043.15,2019.59
033052,811.35,807.19,797.24
033051,1188.29,1181.31,1164.46
033028,983.84,985.63,955.34
033027,727.55,728.32,704.56
033009,331.03,329.22,328.26
033023,103.53,102.96,102.66
033025,2993.35,2977.54,2968.48
033026,4884.8,4857.85,4843.85
033022,240.6,239.29,238.58
033010,249.77,249.45,247.98
033032,239.86,239.55,238.13
033031,239.62,239.3,237.87
033033,281.09,280.73,279.08
033015,551.84,551.86,544.42
033014,932.63,931.97,917.6
033008,235.14,231.52,228.67
033019,244.11,240.33,237.34
033021,422.55,416.03,410.96
033020,247.63,243.81,240.84
033018,50.37,49.98,49.55
033017,62.91,62.54,61.83
033016,45.98,45.67,45.07
033040,405.9,406.74,400.44
033038,230.61,231.09,227.51
033037,247.71,247.93,244.37
033039,368.09,368.57,362.15
REL006,28.12,27.38,27.27
CTB015,11.37,10.98,10.9
CTB014,14.67,14.24,14.1
CTB010,9.7,9.76,9.63
CTB006,9.19,9.32,9.2
CTB002,10.2925,10.3248,10.3092
CTB004,10.3376,10.4295,10.324
CTB008,10.4569,10.3809,10.3215
CTB016,10.9062,10.9065,10.9065
CTB001,15.4945,15.156,15.0476
YUI038,55.83,54.49,54.2
YUI027,10.692,10.6941,10.6948
YUI026,10.38,10.4657,10.4555
YUI024,10.5589,10.5352,10.5388
YUI023,10.2156,10.2749,10.2676
YUI029,10.61,10.37,10.41
YUI028,9.92,9.78,9.81
YUI008,11.64,11.24,11.21
YUI007,11.206,10.836,10.792
YUI006,15.456,15.043,14.978
YUI018,11.053,11.0938,11.084
YUI020,2.96,2.91,2.91
YUI019,13.89,13.75,13.74
YUI044,25.24,24.62,24.54
YUI070,20.305,19.81,19.803
YUI057,9.95,10,9.92
YUI071,14.23,14.27,14.21
YUI047,11.27,11.19,11.1
YUI002,10.55,10.39,10.32
YUI001,10.161,10.024,9.947
YUI062,7.7,7.63,7.6
YUI060,7.75,7.71,7.63
YUI030,9.43,9.51,9.39
YUI056,12.32,12.14,12.09
YUI040,16.19,16.18,16.02
YUI058,11.12,11.19,11.14
YUI010,11.02,11.03,11.01
YUI009,10.84,10.69,undefined
YUI066,17.15,16.74,16.67
YUI039,53.06,52.18,51.94
YUI054,9.13,9,8.89
YUI021,9.3949,9.4608,9.3678
YUI069,43.36,42.32,42.29
YUI045,7.86,7.6,7.55
YUI055,8.34,8.34,8.28
YUI050,10.4278,10.4294,10.3871
YUI037,9.9659,10.0168,9.9735
YUI053,10.0164,10.0168,10.017
YUI052,9.584,9.6471,9.6442
YUI064,13,12.64,12.59
YUI068,16.1365,16.1368,16.1369
YUI041,11.8982,11.8985,11.8986
YUI016,6.9,6.83,6.83
YUI005,9.59,9.44,9.48
YUI004,9.238,9.109,9.145
YUI003,9.4,9.33,9.36
YUI043,20.55,20.04,19.95
YUI017,11.04,10.93,10.81
YUI033,11.4018,undefined,11.39
YUI012,9.86,9.71,9.67
YUI015,5.257,5.386,5.128
YUI014,9.163,undefined,9.061
YUI013,9.056,8.967,undefined
YUI065,29.62,28.94,28.94
YUI046,14.9986,14.9989,14.999
YUI042,18.87,18.44,18.44
YUI067,40.05,38.81,38.76
017028,52.23,52.94,52.2
017029,46.58,47.18,46.43
017030,33.54,33.99,33.52
017037,28.28,28.39,27.59
017038,25.22,25.31,24.54
017001,20.72,20.81,20.22
017031,46.76,47.03,46.67
017032,41.71,41.92,41.51
017033,30.94,31.11,30.87
017006,16.45,16.4,16.4
017010,6.48,6.46,6.46
017007,14.67,14.61,14.59
017008,15.04,14.99,14.99
017009,6.76,6.73,6.74
017039,17.14,17,16.86
017022,61.3,60.84,60.47
017021,54.68,54.22,53.79
017002,31.15,31.09,30.99
017005,13.83,13.8,13.76
017003,27.79,27.71,27.57
017004,29.48,29.42,29.33
017034,17.73,17.96,17.71
017035,15.81,16.01,15.75
017036,21.51,21.8,21.49
017015,8.6,8.56,8.56
017013,20.39,20.31,20.29
017014,14.85,14.79,14.78
017011,19.43,19.36,19.34
017012,17.33,17.25,17.2
017023,34.09,33.97,33.82
017027,13.76,13.71,13.65
017024,30.4,30.28,30.09
017025,25.21,25.12,25.01
017026,13.19,13.15,13.09
108008,1.2954,1.2714,1.2851
108009,1.6728,1.6421,1.6598
108007,2.9949,2.9394,2.971
108003,1.4792,1.4425,1.456
108002,1.9303,1.8818,1.8997
108005,1.7152,1.6726,1.6883
108001,1.5229,1.4904,1.5031
108004,2.5918,2.5274,2.5511
108006,2.3012,2.2522,2.2713
038026,27.34,27.31,27.23
038016,203.17,202.97,202.45
038038,22.3,22.27,22.21
038009,20.04,20.02,19.97
038035,43.35,43.29,42.52
038048,18.9947,18.9931,18.9924
038025,58.22,58.89,57.99
038032,78.97,79.29,78.21
038003,19.37,19.33,19.27
038002,188.85,188.47,187.95
038001,18.74,18.7,18.65
038047,24.61,24.57,24.49
038045,15.68,15.69,15.45
038046,18.07,18.09,17.8
038004,16.35,16.36,16.05
038028,11.68,11.7,11.58
038027,15.86,15.88,15.72
038042,70.16,70.54,69.45
038041,22.89,22.92,22.67
038034,18.61,18.65,18.4
038020,16.75,16.64,16.63
038019,190.3,189.1,189
038021,14.73,14.69,14.64
038033,18.51,18.39,18.38
038017,18.8,18.68,18.67
038039,6.99,7.03,6.8
038030,20.78,21.09,20.81
038014,21.68,21.98,21.71
038015,216.05,219.14,216.42
038018,21.52,21.82,21.55
038022,34.75,35.23,34.8
038013,34.89,35.37,34.93
038043,23.44,23.71,23.49
038029,186.57,187.58,181.32
038010,18.87,19.04,18.79
038012,180.66,182.4,179.98
038011,17.99,18.16,17.92
038006,20.25,20.44,20.17
038040,27.49,27.87,27.45
038044,99.72,100.77,99.31
038024,17.49,17.64,17.42
038005,19.33,19.43,19.21
038036,191.93,193.04,190.8
038037,19.17,19.27,19.05
038007,48.11,48.37,47.82
038023,49.97,50.88,49.21
JIH005,14.44,13.97,14.05
JIH029,23.22,22.58,22.55
JIH027,19.57,18.9,18.94
JIH006,9.97,9.82,9.76
JIH016,11.5344,undefined,11.4789
JIH018,11.4789,undefined,11.421
JIH014,10.7717,undefined,10.7795
JIH021,10.3749,10.3763,10.3768
JIH022,9.6943,9.6964,9.6984
JIH020,9.536,9.5963,9.5958
JIH026,8.59,8.61,8.55
JIH023,11.1804,11.1745,11.1348
JIH009,2.4996,undefined,2.5013
JIH011,0.3865,undefined,0.387
JIH007,12.807,undefined,12.8015
JIH024,6.16,6.01,6.03
JIH004,10.2869,10.2609,10.2393
JIH025,13.25,12.97,12.92
JIH002,12.66,12.31,12.32
JIH028,14.6576,14.6579,14.658
JIH030,29.75,28.77,28.95
JIH001,31.75,30.97,30.71
TST022,13.3878,13.3881,13.3882
TST001,26.79,26.08,26.06
TST011,10.6493,10.6509,10.6515
TST033,14.0592,14.0595,14.0596
TST020,36.75,36.04,35.78
TST003,10.45,10.21,10.19
TST010,12.714,12.586,12.584
TST018,18.71,18.44,18.38
TST016,19.9,20.16,19.67
TST017,0.6341,0.6383,0.6232
TST021,29.09,28.41,28.22
TST012,10.04,10.12,9.93
TST013,10.4638,10.4743,10.2802
TST005,13.5,13.38,undefined
TST019,10.9432,10.9389,10.9448
TST006,12.1719,12.1622,12.1727
TST007,0.3849,0.3821,0.3825
TST034,11.0183,11.0185,11.0186
TST002,27.5183,26.9484,26.7957
TST009,10.8436,10.8639,10.842
TST004,5.24,5.23,5.15
TST008,9.415,9.459,9.254
096003,13.06,12.79,12.78
MAI001,12.2628,12.2794,12.2691
096004,11.75,11.45,11.46
096001,11.65,11.29,11.3
096002,10.21,9.93,9.93
SIN023,10.3703,10.3717,10.3722
SIN022,9.7604,9.8253,9.8258
SIN020,10.3942,10.3819,10.379
SIN018,9.4178,9.4321,9.4311
SIN001,39.33,37.97,37.94
SIN010,2.4251,2.4215,2.421
SIN009,11.2569,11.3131,11.3105
SIN008,3.71,3.6,3.61
SIN007,17.47,17.08,17.12
SIN030,12.65,12.78,12.73
SIN033,29.79,29.03,29
SIN004,10.18,9.98,9.93
SIN003,17.58,17.15,17.14
SIN031,13.7864,13.7867,13.7868
SIN015,2.2491,2.2352,2.2309
SIN013,10.5706,10.5707,10.554
SIN005,11.4457,11.4155,11.4057
SIN017,15.12,undefined,14.93
SIN032,27.87,27.04,27.02
SIN029,10.36,10.52,10.34
SIN028,10.22,10.4,10.22
SIN027,10.43,undefined,10.32
SIN026,10.36,undefined,10.27
SIN024,8.94,8.82,8.71
SIN025,8.96,8.84,8.73
SIN002,39.67,38.88,38.69
Meg014,10.7779,10.7801,10.7809
Meg022,10.19,10.08,10.06
Meg020,9.6,9.55,9.54
Meg021,9.93,9.83,9.82
Meg026,13.24,13.01,12.95
Meg015,14.44,14.27,14.34
Meg016,13.87,13.62,13.69
Meg018,10.17,10.22,10.13
Meg006,16.19,16.62,16.38
Meg017,9.895,9.9151,9.868
Meg019,9.9733,9.9707,9.9245
Meg009,10.03,10.13,9.99
Meg003,27.9,27.79,27.57
Meg010,10.81,10.8,10.79
Meg023,9.9358,10.0012,9.9978
Meg024,10.0041,10.0046,10.0047
Meg001,12.18,11.9,11.85
Meg012,9.9565,9.9529,9.9362
Meg002,17.99,17.67,17.66
Meg025,21.69,21.19,21.13
Meg008,7.22,7.24,7.13
Meg005,28.01,27.68,27.61
Meg007,12.4076,12.4079,12.408
031006,43.1235,41.5358,41.6281
031015,80.0547,78.7284,78.6202
031008,10.1815,10.0135,10.0005
031003,22.7129,22.0968,22.4121
031016,11.311,10.9894,11.0227
031014,11.1327,11.1267,11.1319
031004,20.0059,19.9951,20.0044
031001,3.4657,3.3444,3.3356
031020,8.7901,8.4762,8.4511
031011,11.4657,11.208,11.3497
031010,24.6547,24.1006,24.4051
031019,6.7814,6.6697,6.701
031018,8.5695,8.4283,8.4679
031002,0.8136,0.793,0.8017
031021,16.363,16.0352,16.21
031022,9.4314,9.2445,9.3451
031012,1.2786,1.2447,1.2598
031017,8.5726,8.5377,8.5265
031005,1.9275,1.9196,1.9171
TCT001,10.82,10.63,10.6
TCT002,11.0652,11.0666,11.0381
TCT008,10.9115,10.8795,10.8512
TCT004,10.2536,10.221,10.1973
TCT006,10.9405,10.8721,10.8584
TCT019,9.77,9.73,9.68
TCT021,10.29,10.18,10.13
TCT011,8.93,8.78,8.76
TCT012,10.5015,10.4986,10.4806
TCT014,11.0546,10.9966,10.9858
TCT016,12.1951,12.1752,12.1198
081035,9.9335,9.7163,9.7144
081020,14.209,14.056,14.1502
081016,20.3373,20.1168,20.2521
081019,11.6408,11.4862,11.5398
081039,18.316,18.0726,18.1574
081042,11.1261,10.8843,11.0021
081023,11.2958,11.0549,11.1703
081031,8.2183,7.9428,8.0402
081021,13.8269,13.5642,13.7218
081015,14.6181,14.376,14.3785
081036,9.9809,9.7813,9.7739
081034,10.0511,9.9306,9.8945
081014,9.574,9.4468,9.3921
081029,7.846,7.5064,7.6048
081032,10.4953,10.3015,10.3553
081022,13.5265,13.2047,13.4172
081040,12.8782,12.5792,12.6873
081025,9.7503,9.7265,9.7113
081033,11.5209,11.4928,11.4749
081027,9.1731,9.1077,9.0618
081044,11.1405,11.0611,11.0053
081028,6.7635,6.6612,6.6865
081024,8.1944,8.0705,8.1011
081017,16.0615,15.9595,15.9662
081037,10.3323,10.2666,10.2713
081026,10.5103,10.4426,10.4467
081043,13.1295,13.0449,13.0501
081030,12.4444,12.1613,12.2907
081041,12.4616,12.1631,12.3095
081038,13.3923,13.1414,13.1705
080002,85.93,84.43,84.24
080005,145.27,144.37,143.49
080003,204.99,203.88,201.41
080004,136.89,136.16,134.5
080001,123.01,122.35,120.86
080009,90.97,90.78,90.55
080007,152.6,152.28,151.9
080008,184.79,184.39,183.92
080006,175.66,174.85,174.92
009006,900.33,888.57,888.73
009001,1983.04,1960.62,1963.28
009008,34.67,undefined,33.55
009009,78.32,undefined,76.08
009002,11.35,11.23,11.12
009003,22.45,22.22,22.1
009007,18.29,18.53,18.26
009004,15.88,15.94,15.75
009005,32.19,32.24,31.84
019025,53.24,51.42,51.35
019037,10.13,9.97,10.03
019036,19.37,19.08,19.24
019048,22.43,21.92,22.17
019033,24.73,24.11,24.36
019035,17.8,17.25,17.49
019030,11.06,10.66,10.75
019016,5.77,5.57,5.61
019029,88.4,85.46,86.19
019026,5.61,undefined,5.48
019046,134.8,133.55,133.7
019002,9.09,9,9.01
019043,8.43,8.35,8.36
019003,8.84,8.75,8.76
019005,8.74,8.66,8.67
019004,9.18,9.09,9.1
019001,14.29,14.15,14.17
019044,88.51,86.25,86.22
019006,8.53,8.31,8.28
019007,10.55,10.31,10.27
019049,121.5,118.72,118.31
019042,10.11,9.89,9.88
019018,10.15,9.93,9.91
019024,9.97,9.75,9.74
019045,25.31,24.76,24.72
019020,10.28,undefined,10.24
019021,9,undefined,8.97
019022,9.01,undefined,8.97
019019,11.4,undefined,11.35
019008,10.4,10.16,10.21
019009,100.92,98.1,98.65
019038,10.51,10.19,10.33
019039,156.41,152.08,154.23
019023,242.26,234.67,233.64
019028,39.92,38.89,39.68
019010,61.03,59.28,59.58
019017,11.13,10.83,10.96
019034,232.37,226.24,228.91
019041,9.65,9.42,9.57
019040,136.88,133.56,135.69
019015,10.79,10.53,10.6
019047,10.88,10.61,10.69
019013,249.99,243.75,245.46
019012,12.85,12.51,12.66
019011,195.56,190.51,192.77
019027,9.86,9.61,9.59
062027,71.98,70.55,70.53
062023,10985.63,10768.28,10765.21
062008,95.36,93.96,94.09
062015,303.11,304.06,300.51
062011,264.56,265.59,263
062004,235.98,236.72,233.95
062025,399.31,410.47,403.6
062005,544.85,560.13,550.77
062009,485.94,499.19,489.89
062002,1632.54,1639.1,1617.61
062020,185.58,186.3,183.83
062021,170.99,171.65,169.38
062039,163.7,164.32,162.14
062018,127.03,127.62,126.17
062016,113.3,113.74,112.23
062017,164,164.77,162.9
062001,146.28,146.85,144.9
062041,132.49,133.06,130.99
062013,118.17,118.58,116.52
062028,179.4,180.65,178.38
062029,160.01,161.01,158.67
062045,125.85,125.87,125.75
062042,123.01,124.84,122.92
062012,169.16,171.7,169.06
062014,150.88,153.02,150.38
062040,167.65,170.24,168.19
062024,217.64,221.03,218.37
062010,194.13,197,194.25
062038,76.22,73.78,73.94
062035,97.91,94.81,95.01
062034,91.69,88.79,88.97
062037,86.86,84.47,84.66
062044,71.79,69.81,69.97
062006,258.03,undefined,undefined
062019,149.81,150.37,149.13
062031,126.08,126.65,125.84
062026,112.47,112.88,111.95
062003,232.72,234.44,232.18
062033,309.27,307.56,307.89
062022,289.52,287.92,288.23
062036,220.6,219.37,219.6
062043,170.8,169.85,170.03
062007,923.53,916.54,912.22
062030,69.74,70.06,69.23
