"Area","FundId","StarRatingFromEst","Name","NameEng","NameWarning","CPId","CPName","CPNameEng","AgentCPId","AgentCPName","AgentCPNameEng","RctName","Count","CurrencyCode","InceptionYmdOn","CategoryId","CategoryName","BroadAssetClassId","BroadAssetClassName","InvestmentStrategy","Custodian","CustodianFee","CustodianFeeUnitNameEng","ManagementFee","ManagementFeeUnitNameEng","MinInvestment","MinInvestmentUnit","DistnbutionStatus","FrontLoadFee","FrontLoadFeeUnitNameEng","SizeTransDate","FundSize","PriceTransDate","Price","PerformanceTransDate","UpDown","UpDownRate","Rr1w","Rr1M","Rr3M","Rr6M","RrThisYear","Rr1Y","Rr2Y","Rr3Y","Rr5Y","Rr10Y","RrFromEst","RatingTransDate","Alpha1Y","Beta1Y","Sharpe1Y","StdDev1Y","Alpha3Y","Beta3Y","Sharpe3Y","StdDev3Y","AriMean3Y","Alpha5Y","Beta5Y","Sharpe5Y","StdDev5Y","Alpha10Y","Beta10Y","Sharpe10Y","StdDev10Y","RiskRatingFromEst","ProviderId","EcAllot","RspAllot","EcRedem","EcSwitch","StopTradeType"
"B","099022","2","CI資本國際新興市場股票基金T (美元)","Capital International Em Mkts T","","63","資本國際管理公司","Capital Group","8","華頓證券投資信託股份有限公司","Paradigm Asset Management Co LLC","盧森堡","300","USD","20100610","155","新興市場股票","null","股票基金","投資目標包括對投資風險作地區別及產業別之分散,以及投資註冊在開發中國家或以這類國家為主要經濟活動範圍之發行機構所發行的證券,來追求長期的資本增長.","摩根大通銀行盧森堡","0.08","Percentage","2","Percentage","100000","Monetary","不分配","3","Percentage","20161031","1416090717","20161108","77.59","20161031","1.35","1.79","-1.09666","0.23262","3.37198","6.20293","13.37524","7.09749","-10.81982","-14.63791","-11.38025","13.36728","583.6876","201610","-1.76","1.06","0.43","19.05","-3.31","1.01","-0.25","16.26","-0.332","-3.13","0.99","-0.07","16.33","-2.35","0.92","0.13","21.99","5","null","Y","Y","Y","Y","null"
"B","090003","2","KBI全球水資源基金","KBI Instl Water F EUR","","378","KBI全球投資有限公司","KBI Global Investors","335","康和証券投資顧問股份有限公司","Concord Capital Management Corp.","愛爾蘭","177","EUR","20101008","767","行業股票 - 水資源","null","股票基金","本基金投資目標係經由主要投資於涉及水資源產業之國際企業之股票及股票相關有價證券,以創造股東最大報酬.此一目的反映於其對資本利得與收益之追求.為達成投資目標,本基金主要將直接或間接(透過集合投資計劃)投資於全球認可交易所上巿或交易之公司股票及股票相關有價證券(包括,但不限於認股權證,可轉換債券,允許持有人申購該公司發行之額外有價證券之權利(由公司發行),美國存託憑證及全球存託憑證),且由投資經理人認定其營收主要來源及營運偏向水資源產業者.","北方信託信託服務(愛爾蘭)","null","null","2","Percentage","0","Monetary","不分配","3","Percentage","20160930","118732107","20161108","1054.191","20161028","11.737","1.13","-1.81444","-0.15355","1.83784","5.05855","11.04538","8.75262","10.87574","25.03734","85.14546","null","90.82611","201610","1.6","0.96","0.44","18.32","0.77","1.1","0.03","15.64","0.054","null","null","0.55","15.56","null","null","null","null","4","null","Y","Y","Y","Y","null"
"B","090004","2","KBI全球水資源基金(美元)","KBI Instl Water C USD","","378","KBI全球投資有限公司","KBI Global Investors","335","康和証券投資顧問股份有限公司","Concord Capital Management Corp.","愛爾蘭","118","USD","20131025","767","行業股票 - 水資源","null","股票基金","本基金投資目標係經由主要投資於涉及水資源產業之國際企業之股票及股票相關有價證券,以創造股東最大報酬.此一目的反映於其對資本利得與收益之追求.為達成投資目標,本基金主要將直接或間接(透過集合投資計劃)投資於全球認可交易所上巿或交易之公司股票及股票相關有價證券(包括,但不限於認股權證,可轉換債券,允許持有人申購該公司發行之額外有價證券之權利(由公司發行),美國存託憑證及全球存託憑證),且由投資經理人認定其營收主要來源及營運偏向水資源產業者.","北方信託信託服務(愛爾蘭)","null","null","2.5","Percentage","null","null","不分配","3","null","20160930","133430849.36","20161108","9.541","20161028","0.089","0.94","-1.60752","-2.83546","0.37129","1.18528","11.49043","7.53591","-4.20318","-2.68002","null","null","-2.68","201610","null","null","0.46","17.2","null","null","-0.03","14.62","-0.024","null","null","null","null","null","null","null","null","4","null","Y","Y","Y","Y","null"
"B","090002","2","KBI替代能源解決方案基金","KBI Instl Energy Solutions KBALT EUR F","","378","KBI全球投資有限公司","KBI Global Investors","335","康和証券投資顧問股份有限公司","Concord Capital Management Corp.","愛爾蘭","64","EUR","20101008","440","替代能源股票","null","股票基金","本基金投資目標係經由主要投資於涉及替代性能源之國際企業之股票及股票相關有價證券,以創造股東最大報酬.此一目的反映於其對資本利得與收益之追求.","北方信託信託服務(愛爾蘭)","null","null","2","Percentage","100","Monetary","不分配","3","Percentage","20160930","48750090","20161108","237.291","20161028","2.27","0.97","-2.1712","-0.11925","-2.1306","-2.41879","-7.30833","-0.52541","4.81519","4.48472","28.58305","null","-4.86961","201610","-4.68","1.41","-0.14","18.96","-10.68","1.43","-0.25","18.25","-0.377","-11.51","1.46","0.1","18.95","null","null","null","null","4","null","Y","Y","Y","Y","null"
"B","090001","null","KBI替代能源解決方案基金美元C股","KBI Instl Energy Solutions KBALT USD C","","378","KBI全球投資有限公司","KBI Global Investors","335","康和証券投資顧問股份有限公司","Concord Capital Management Corp.","愛爾蘭","43","USD","20140123","440","替代能源股票","null","股票基金","本基金投資目標係經由主要投資於涉及替代性能源之國際企業之股票及股票相關有價證券,以創造股東最大報酬.此一目的反映於其對資本利得與收益之追求.","北方信託信託服務(愛爾蘭)","null","null","2","Percentage","null","null","不分配","3","null","20160930","54785231.05","20161108","7.759","20161028","0.059","0.77","-1.97278","-2.79807","-3.57406","-6.21192","-7.16566","-1.91154","-9.8001","null","null","null","-21.49","null","-4.94","1.31","-0.17","17.82","null","null","null","null","null","null","null","null","null","null","null","null","null","4","null","Y","Y","Y","Y","null"
"B","046016","3","MFS全盛基金系列-MFS全球重點研究基金 A1 (美元)","MFS Meridian Glbl Rsrch Focus A1 USD","","43","MFS全盛基金","MFS Meridian Funds","64","柏瑞證券投資信託股份有限公司","PineBridge Investments Mgmt Taiwan Ltd","盧森堡","45","USD","20050926","202","環球大型均衡型股票","null","股票基金","基金的投資目標為以美元計值的資本增值.基金主要投資於美國以外其他地區發行人的股票證券投資組合.基金由MFS的研究分析家團隊管理,採用自下而上的基礎研究,並以同行評審來建立代表其對美國以外地區各行業資本增值最佳意見的多元資本化投資組合.","道富銀行盧森堡","null","null","1.05","Percentage","5000","Monetary","不分配","3","Percentage","20160930","274550000","20161108","26.39","20161031","0.54","2.1","-0.79545","-2.67559","-1.61533","3.11024","3.06966","0.4603","0.15296","5.39236","36.97702","25.4912","165.666351","201609","-1.45","0.92","0.07","10.83","-1.26","0.95","0.2","10.83","0.193","-1.13","0.96","0.61","11.22","-1.47","1.06","0.17","18.29","4","58","Y","Y","Y","Y","null"
"B","046002","3","MFS全盛基金系列-MFS全球重點研究基金 A1 (歐元)","MFS Meridian Glbl Rsrch Focus A1 EUR","","43","MFS全盛基金","MFS Meridian Funds","64","柏瑞證券投資信託股份有限公司","PineBridge Investments Mgmt Taiwan Ltd","盧森堡","28","EUR","20050926","202","環球大型均衡型股票","null","股票基金","基金的投資目標為以美元計值的資本增值.基金主要投資於美國以外其他地區發行人的股票證券投資組合.基金由MFS的研究分析家團隊管理,採用自下而上的基礎研究,並以同行評審來建立代表其對美國以外地區各行業資本增值最佳意見的多元資本化投資組合.","道富銀行盧森堡","null","null","1.05","Percentage","4000","Monetary","不分配","3","Percentage","20160930","244305571.97","20161108","17.34","20161031","0.34","2","-1.75141","-0.34384","0","7.61139","2.65643","0.81159","14.1076","30.06731","70.99316","45.76704","73.90009","201609","-1.9","0.94","0.03","11.01","-1.53","1","0.18","11.47","0.186","-1.84","1.01","0.55","11.84","-1.49","1.07","0.17","18.48","4","58","Y","Y","Y","Y","null"
"B","046021","4","MFS全盛基金系列-MFS全盛全球股票基金 A1(美元)","MFS Meridian Global Equity A1 USD","","43","MFS全盛基金","MFS Meridian Funds","64","柏瑞證券投資信託股份有限公司","PineBridge Investments Mgmt Taiwan Ltd","盧森堡","107","USD","20050926","203","環球大型增長型股票","null","股票基金","基金的投資目標為以美元計值的資本增值.基金主要投資於全球發行人的股票證券投資組合.基金採用(以合理價格增長)策略揀選較大型資本,且MFS認為具良好增長前景的股票證券.基金透過自下而上的股票證券揀選尋求增值.","道富銀行盧森堡","null","null","1.05","Percentage","5000","Monetary","不分配","3","Percentage","20160930","5164570000","20161108","46.59","20161031","0.78","1.71","-0.94057","-2.6266","-2.0296","0.34647","4.27543","0.30303","3.34524","9.00964","56.23737","60.79114","206.426727","201609","-0.83","0.95","0.05","10.79","-0.86","1","0.3","11.4","0.292","0.31","1","0.82","11.62","1.03","0.97","0.32","16.32","3","58","Y","Y","Y","Y","null"
"B","046041","4","MFS全盛基金系列-MFS全盛全球股票基金 A1(歐元)","MFS Meridian Global Equity A1 EUR","","43","MFS全盛基金","MFS Meridian Funds","64","柏瑞證券投資信託股份有限公司","PineBridge Investments Mgmt Taiwan Ltd","盧森堡","32","EUR","19990312","203","環球大型增長型股票","null","股票基金","基金的投資目標為以美元計值的資本增值.基金主要投資於全球發行人的股票證券投資組合.基金採用(以合理價格增長)策略揀選較大型資本,且MFS認為具良好增長前景的股票證券.基金透過自下而上的股票證券揀選尋求增值.","道富銀行盧森堡","null","null","1.05","Percentage","4000","Monetary","不分配","3","Percentage","20160930","4595640968.28","20161108","26.67","20161031","0.44","1.68","-1.90267","-0.26042","-0.37161","4.72656","3.91473","0.67593","17.74264","34.65596","95.12377","86.82923","168.1002","201609","-1.21","0.96","0.02","11.08","-1.11","1.05","0.28","12.12","0.288","-0.43","1.05","0.75","12.26","1.01","0.98","0.32","16.57","3","58","Y","Y","Y","Y","null"
"B","046015","3","MFS全盛基金系列-MFS全盛全球高收益基金 A1(美元)","MFS Meridian Global High Yield A1 USD","本基金主要係投資於非投資等級之高風險債券","43","MFS全盛基金","MFS Meridian Funds","64","柏瑞證券投資信託股份有限公司","PineBridge Investments Mgmt Taiwan Ltd","盧森堡","27","USD","19970701","682","環球高收益債券","null","債券基金","基金的主要投資目標為以美元計值的高當前收入,次要投資目標為資本增值.基金主要投資低於投資級美國債務證券投資組合.基金通過自下而上的信用揀選,集中物色最具吸引力的風險回報機會,尋求增值.","道富銀行盧森堡","null","null","0.75","Percentage","5000","Monetary","不分配","1.5","Percentage","20160930","770520000","20161108","26.51","20161031","0.11","0.42","-0.78475","0.26435","2.31214","5.90347","11.69541","7.18611","3.62998","8.67785","29.89238","58.69703","125.573532","201609","-2.63","0.95","1.04","6.64","-2.21","0.98","0.5","5.64","0.244","-2.17","0.97","0.96","5.55","-2.63","0.93","0.43","10.09","3","58","Y","Y","Y","Y","null"
