howfundId,tejId,FRId,FCId,FDId
how1,0050,,,
how2,0051,,,
how3,0052,,,
how4,0053,,,
how5,0054,,,
how6,0055,,,
how7,0056,,,
how8,0057,,,
how9,0058,,,
how10,0059,,,
how11,0061,,,
how12,006201,,,
how13,006203,,,
how14,006204,,,
how15,006205,,,
how16,006206,,,
how17,006207,,,
how18,006208,,,
how19,00625K,,,
how20,00631L,,,
how21,00632R,,,
how22,00633L,,,
how23,00634R,,,
how24,00635U,,,
how25,00636,,,
how26,00637L,,,
how27,00638R,,,
how28,00639,,,
how29,00640L,,,
how30,00641R,,,
how31,00642U,,,
how32,00643,,,
how33,00643K,,,
how34,00645,,,
how35,00646,,,
how36,00647L,,,
how37,00648R,,,
how38,00649,,,
how39,00650L,,,
how40,00651R,,,
how41,00652,,,
how42,00653L,,,
how43,00654R,,,
how44,00655L,,,
how45,00656R,,,
how46,00657,,,
how47,00658L,,,
how48,00659R,,,
how49,00660,,,
how50,00661,,,
how51,00662,,,
how52,00663L,,,
how53,00664R,,,
how54,00665L,,,
how55,00666R,,,
how56,0080,,,
how57,0081,,,
how58,008201,,,
how59,01001T,,,
how60,01002T,,,
how61,01003T,,,
how62,01004T,,,
how63,01007T,,,
how64,AI1901,,,
how65,AI2906,,,
how66,AI2907,,,
how67,AI2908,,,
how68,AI2909,,,
how69,AP41,,,
how70,CA49,,,
how71,CA61,,,
how72,CA6101,,,
how73,CA62,,,
how74,CA6201,,,
how75,CA63,,,
how76,CA6301,,,
how77,CI45,,,
how78,CI46,,,
how79,CI47,,,
how80,CI48,,,
how81,CP2404,,,
how82,CP2405,,,
how83,CP2406,,,
how84,CP2407,,,
how85,CP3501,,,
how86,CP4001,,,
how87,CP4002,,,
how88,CP4101,,,
how89,CP4102,,,
how90,CP5702,,,
how91,CP5802,,,
how92,CP59,,,
how93,CP5901,,,
how94,CP5902,,,
how95,CP60,,,
how96,CP6001,,,
how97,CP6002,,,
how98,CP6102,,,
how99,CP62,,,
how100,CP6201,,,
how101,CP63,,,
how102,CP6301,,,
how103,CP64,,,
how104,CP6401,,,
how105,CY2601,,,
how106,CY73,,,
how107,CY74,,,
how108,DD0702,,,
how109,DD0703,,,
how110,DD0704,,,
how111,DD0705,,,
how112,DD2001,,,
how113,DD2002,,,
how114,DD2601,,,
how115,DD2603,,,
how116,DD2703,,,
how117,DD2802,,,
how118,DD2803,,,
how119,DD2903,,,
how120,DD35,,,
how121,DD3501,,,
how122,DD42,,,
how123,DD4201,,,
how124,DS32,,,
how125,DS33,,,
how126,DS34,,,
how127,DS3401,,,
how128,DS35,,,
how129,DS3501,,,
how130,FCB1,,,
how131,FCB3,,,
how132,FCB4,,,
how133,FCB5,,,
how134,FD07,,,
how135,FD0701,,,
how136,FD0702,,,
how137,FD0703,,,
how138,FE13,,,
how139,FH2902,,,
how140,FH2904,,,
how141,FH50,,,
how142,FHB1,,,
how143,FP41,,,
how144,FP54,,,
how145,FP57,,,
how146,FP58,,,
how147,HNB1,,,
how148,HNB2,,,
how149,HNB3,,,
how150,IC0101,,,
how151,IC63,,,
how152,IC66,,,
how153,IC67,,,
how154,IC68,,,
how155,IC6801,,,
how156,IC69,,,
how157,IC6901,,,
how158,IC75,,,
how159,JF11101,,,
how160,JS40,,,
how161,JS41,,,
how162,JS42,,,
how163,KG33,,,
how164,NC53,,,
how165,NC54,,,
how166,PS34,,,
how167,PS35,,,
how168,R000010,,,
how169,R000016,,,
how170,R000300,,,
how171,R000998,,,
how172,R399333,,,
how173,R399606,,,
how174,S000001,,,
how175,S000010,,,
how176,S000016,,,
how177,S000300,,,
how178,S000998,,,
how179,SB79,,,
how180,SCB1,,,
how181,SCB2,,,
how182,SCB3,,,
how183,SCB4,,,
how184,SCB5,,,
how185,T0101Y,Meg007,,
how186,T0102Y,Meg001,,
how187,T0103Y,,,
how188,T0104Y,Meg003,,
how189,T0105Y,Meg002,,
how190,T0107Y,Meg026,,
how191,T0108Y,Meg025,,
how192,T0109Y,Meg006,,
how193,T0110Y,Meg005,,
how194,T0112Y,Meg008,,
how195,T0114Y,Meg009,,
how196,T0115Y,Meg018,,
how197,T0116A,Meg010,,
how198,T0116Y,,,
how199,T0117A,Meg012,,
how200,T0117B,,,
how201,T0118Y,Meg014,,
how202,T0119A,Meg015,,
how203,T0119B,Meg016,,
how204,T0120A,Meg017,,
how205,T0120B,Meg019,,
how206,T0121A,Meg020,,
how207,T0121B,Meg021,,
how208,T0121C,Meg022,,
how209,T0123A,Meg023,,
how210,T0123B,Meg024,,
how211,T0306Y,FSI001,,
how212,T0310Y,FSI004,,
how213,T0311Y,FSI005,,
how214,T0313Y,FSI009,,
how215,T0314Y,FSI003,,
how216,T0316Y,,,
how217,T0318Y,FSI002,,
how218,T0320Y,FSI010,,
how219,T0326A,,,
how220,T0326B,,,
how221,T0331Y,,,
how222,T0332A,,,
how223,T0332B,,,
how224,T0332C,,,
how225,T0332D,,,
how226,T0334A,,,
how227,T0334Y,,,
how228,T0335Y,,,
how229,T0336Y,FSI006,,
how230,T0343A,,,
how231,T0343B,,,
how232,T0344A,FSI007,,
how233,T0344B,FSI008,,
how234,T0345A,,,
how235,T0345B,,,
how236,T0345C,,,
how237,T0345D,,,
how238,T0346A,,,
how239,T0346B,,,
how240,T0405Y,,,
how241,T0406Y,,,
how242,T0408Y,,,
how243,T0410Y,,,
how244,T0411Y,,,
how245,T0413Y,,,
how246,T0414Y,,,
how247,T0415Y,,,
how248,T0417Y,,,
how249,T0425Y,,,
how250,T0427Y,,,
how251,T0428Y,,,
how252,T0429Y,,,
how253,T0431Y,,,
how254,T0436A,,,
how255,T0436B,,,
how256,T0436Y,,,
how257,T0438Y,,,
how258,T0439Y,,,
how259,T0440A,,,
how260,T0440B,,,
how261,T0443A,,,
how262,T0443B,,,
how263,T0443C,,,
how264,T0443D,,,
how265,T0443E,,,
how266,T0443F,,,
how267,T0447Y,,,
how268,T0449A,,,
how269,T0449B,,,
how270,T0449C,,,
how271,T0449D,,,
how272,T0449E,,,
how273,T0449Y,,,
how274,T0453A,,,
how275,T0453B,,,
how276,T0453Y,,,
how277,T0458A,,,
how278,T0458B,,,
how279,T0458C,,,
how280,T0458D,,,
how281,T0458E,,,
how282,T0458F,,,
how283,T0475A,,,
how284,T0475B,,,
how285,T0475C,,,
how286,T0502Y,YUI039,,
how287,T0503Y,YUI066,,
how288,T0504Y,YUI069,,
how289,T0506Y,YUI045,,
how290,T0507Y,YUI046,,
how291,T0508Y,YUI064,,
how292,T0509Y,YUI065,,
how293,T0513Y,YUI043,,
how294,T0516Y,YUI044,,
how295,T0537Y,YUI054,,
how296,T0538Y,YUI055,,
