FRId,TransDate,nav
090003,20161118,1117.728
090002,20161118,240.439
033034,20161118,890.16
033047,20161118,3887
033048,20161118,111.49
033049,20161118,205.02
033035,20161118,354.27
033054,20161118,1233.81
033013,20161118,112.14
033053,20161118,255.37
033007,20161118,859.16
033006,20161118,210.43
033005,20161118,224.48
033050,20161118,1442.87
033012,20161118,1072.45
033046,20161118,3485.7
033059,20161118,434.83
033056,20161118,256.07
033057,20161118,3200.27
033058,20161118,388.69
033055,20161118,254.38
033030,20161118,1823.32
033029,20161118,1972.57
033052,20161118,822.02
033051,20161118,1276.48
033028,20161118,995.18
033027,20161118,780.29
033009,20161118,314.02
033025,20161118,2822.19
033026,20161118,4616.17
033022,20161118,225.71
033010,20161118,250.11
033032,20161118,238.33
033031,20161118,238.05
033033,20161118,280.48
033015,20161118,588.6
033014,20161118,1054.69
033008,20161118,234.11
033019,20161118,242.9
033020,20161118,245.59
033040,20161118,407.08
033038,20161118,230.16
033037,20161118,253.5
033039,20161118,391.39
038016,20161118,196.51
038002,20161118,179.62
038019,20161118,185.81
038015,20161118,206.98
038029,20161118,187.03
038012,20161118,175.44
038044,20161118,100.01
038036,20161118,188.1
080005,20161118,139.32
080003,20161118,182.89
080004,20161118,122.5
080001,20161118,109.23
080007,20161118,153.5
080008,20161118,185.3
080006,20161118,173.61
009006,20161117,960.03
009001,20161117,2143.97
019046,20161118,131.09
019049,20161118,122.47
019039,20161118,167.14
019023,20161117,221.54
019034,20161118,219.58
019040,20161118,130.88
019013,20161118,243.16
019011,20161117,182.51
062023,20161118,11877.8
062008,20161118,101.34
062015,20161117,311.34
062011,20161117,258.24
062004,20161117,241.94
062025,20161117,411.38
062005,20161117,562.21
062009,20161117,526.67
062002,20161117,1630.22
062020,20161117,185.61
062021,20161117,169.78
062039,20161117,162.52
062018,20161117,119.86
062016,20161117,112.29
062017,20161117,155.82
062001,20161117,145.98
062041,20161117,131.74
062013,20161117,123.42
062028,20161117,174.81
062029,20161117,163.77
062045,20161117,125.32
062042,20161117,123.43
