FRId,FRDetail.Name,TransDate,ExternalName,InvRate
046002,MFS全盛基金系列-MFS全球重點研究基金 A1 (歐元),20160901,KDDI CORP JPY5000,4.60782
046002,MFS全盛基金系列-MFS全球重點研究基金 A1 (歐元),20160901,ALPHABET INC. CLASS A COMMON,3.74896
046002,MFS全盛基金系列-MFS全球重點研究基金 A1 (歐元),20160901,MEDTRONIC PLC COMMON,3.51294
046002,MFS全盛基金系列-MFS全球重點研究基金 A1 (歐元),20160901,BP ORD USD0.25,3.25825
046002,MFS全盛基金系列-MFS全球重點研究基金 A1 (歐元),20160901,NEWELL BRANDS INC COMMON,3.20511
046002,MFS全盛基金系列-MFS全球重點研究基金 A1 (歐元),20160901,HONEYWELL INTL INC COMMON,2.81047
046002,MFS全盛基金系列-MFS全球重點研究基金 A1 (歐元),20160901,EOG RESOURCES INC COMMON,2.73303
046002,MFS全盛基金系列-MFS全球重點研究基金 A1 (歐元),20160901,HEWLETT-PACKARD ENTERPRISE CO COMMON,2.71871
046002,MFS全盛基金系列-MFS全球重點研究基金 A1 (歐元),20160901,MONDELEZ INTERNATIONAL COMMON,2.67072
046002,MFS全盛基金系列-MFS全球重點研究基金 A1 (歐元),20160901,DANONE COMMON,2.6131
