FRId,FRDetail.Name,TransDate,ExternalName,InvRate
099022,CI資本國際新興市場股票基金T (美元),20160901,TAIWAN SEMICONDUCTOR MANUFACTURING CO,3.62555
099022,CI資本國際新興市場股票基金T (美元),20160901,AIA GROUP LTD,2.97848
099022,CI資本國際新興市場股票基金T (美元),20160901,NASPERS LIMITED N,2.91358
099022,CI資本國際新興市場股票基金T (美元),20160901,VALE SA PNA ADR,2.8801
099022,CI資本國際新興市場股票基金T (美元),20160901,ALIBABA GROUP HOLDING LTD ADR,2.80775
099022,CI資本國際新興市場股票基金T (美元),20160901,CHINA OVERSEAS LAND & INVESTMENT LTD,2.67979
099022,CI資本國際新興市場股票基金T (美元),20160901,DELTA ELECTRONICS INC (TWD),2.15644
099022,CI資本國際新興市場股票基金T (美元),20160901,WYNN MACAU LTD,1.9917
099022,CI資本國際新興市場股票基金T (美元),20160901,BHARTI AIRTEL LIMITED,1.8921
099022,CI資本國際新興市場股票基金T (美元),20160901,JIANGSU HENGRUI MEDICINE CO LTD A,1.62203
090003,KBI全球水資源基金,20160601,EnerCare Inc,5.44852
090003,KBI全球水資源基金,20160601,Pentair PLC,5.13945
090003,KBI全球水資源基金,20160601,Suez SA,5.04548
090003,KBI全球水資源基金,20160601,Veolia Environnement SA,4.42317
090003,KBI全球水資源基金,20160601,Danaher Corporation,4.37266
090003,KBI全球水資源基金,20160601,Pure Technologies Limited,4.12303
090003,KBI全球水資源基金,20160601,HD Supply Holdings Inc,4.11385
090003,KBI全球水資源基金,20160601,Ecolab Inc,4.08193
090003,KBI全球水資源基金,20160601,Pico Holdings Inc,3.4286
090003,KBI全球水資源基金,20160601,Calgon Carbon Corporation,3.36496
090004,KBI全球水資源基金(美元),20160601,EnerCare Inc,5.44852
090004,KBI全球水資源基金(美元),20160601,Pentair PLC,5.13945
090004,KBI全球水資源基金(美元),20160601,Suez SA,5.04548
090004,KBI全球水資源基金(美元),20160601,Veolia Environnement SA,4.42317
090004,KBI全球水資源基金(美元),20160601,Danaher Corporation,4.37266
090004,KBI全球水資源基金(美元),20160601,Pure Technologies Limited,4.12303
090004,KBI全球水資源基金(美元),20160601,HD Supply Holdings Inc,4.11385
090004,KBI全球水資源基金(美元),20160601,Ecolab Inc,4.08193
090004,KBI全球水資源基金(美元),20160601,Pico Holdings Inc,3.4286
090004,KBI全球水資源基金(美元),20160601,Calgon Carbon Corporation,3.36496
090002,KBI替代能源解決方案基金,20160601,Johnson Controls Inc,5.58568
090002,KBI替代能源解決方案基金,20160601,Covanta Holding Corporation,5.42259
090002,KBI替代能源解決方案基金,20160601,SunPower Corp,4.89234
090002,KBI替代能源解決方案基金,20160601,Canadian Solar Inc,4.63356
090002,KBI替代能源解決方案基金,20160601,EDP Renovaveis SA,4.23429
090002,KBI替代能源解決方案基金,20160601,Vestas Wind Systems A/S,3.52025
090002,KBI替代能源解決方案基金,20160601,First Solar Inc,3.12923
090002,KBI替代能源解決方案基金,20160601,Delphi Automotif PLC,3.11744
090002,KBI替代能源解決方案基金,20160601,NRG Yield Inc,3.09288
090002,KBI替代能源解決方案基金,20160601,Huaneng Renewables Corporation Limited,3.04742
090001,KBI替代能源解決方案基金美元C股,20160601,Johnson Controls Inc,5.58568
090001,KBI替代能源解決方案基金美元C股,20160601,Covanta Holding Corporation,5.42259
090001,KBI替代能源解決方案基金美元C股,20160601,SunPower Corp,4.89234
090001,KBI替代能源解決方案基金美元C股,20160601,Canadian Solar Inc,4.63356
090001,KBI替代能源解決方案基金美元C股,20160601,EDP Renovaveis SA,4.23429
090001,KBI替代能源解決方案基金美元C股,20160601,Vestas Wind Systems A/S,3.52025
090001,KBI替代能源解決方案基金美元C股,20160601,First Solar Inc,3.12923
090001,KBI替代能源解決方案基金美元C股,20160601,Delphi Automotif PLC,3.11744
090001,KBI替代能源解決方案基金美元C股,20160601,NRG Yield Inc,3.09288
090001,KBI替代能源解決方案基金美元C股,20160601,Huaneng Renewables Corporation Limited,3.04742
046016,MFS全盛基金系列-MFS全球重點研究基金 A1 (美元),20160901,KDDI CORP JPY5000,4.60782
046016,MFS全盛基金系列-MFS全球重點研究基金 A1 (美元),20160901,ALPHABET INC. CLASS A COMMON,3.74896
046016,MFS全盛基金系列-MFS全球重點研究基金 A1 (美元),20160901,MEDTRONIC PLC COMMON,3.51294
046016,MFS全盛基金系列-MFS全球重點研究基金 A1 (美元),20160901,BP ORD USD0.25,3.25825
046016,MFS全盛基金系列-MFS全球重點研究基金 A1 (美元),20160901,NEWELL BRANDS INC COMMON,3.20511
046016,MFS全盛基金系列-MFS全球重點研究基金 A1 (美元),20160901,HONEYWELL INTL INC COMMON,2.81047
046016,MFS全盛基金系列-MFS全球重點研究基金 A1 (美元),20160901,EOG RESOURCES INC COMMON,2.73303
046016,MFS全盛基金系列-MFS全球重點研究基金 A1 (美元),20160901,HEWLETT-PACKARD ENTERPRISE CO COMMON,2.71871
046016,MFS全盛基金系列-MFS全球重點研究基金 A1 (美元),20160901,MONDELEZ INTERNATIONAL COMMON,2.67072
046016,MFS全盛基金系列-MFS全球重點研究基金 A1 (美元),20160901,DANONE COMMON,2.6131
046002,MFS全盛基金系列-MFS全球重點研究基金 A1 (歐元),20160901,KDDI CORP JPY5000,4.60782
046002,MFS全盛基金系列-MFS全球重點研究基金 A1 (歐元),20160901,ALPHABET INC. CLASS A COMMON,3.74896
046002,MFS全盛基金系列-MFS全球重點研究基金 A1 (歐元),20160901,MEDTRONIC PLC COMMON,3.51294
046002,MFS全盛基金系列-MFS全球重點研究基金 A1 (歐元),20160901,BP ORD USD0.25,3.25825
046002,MFS全盛基金系列-MFS全球重點研究基金 A1 (歐元),20160901,NEWELL BRANDS INC COMMON,3.20511
046002,MFS全盛基金系列-MFS全球重點研究基金 A1 (歐元),20160901,HONEYWELL INTL INC COMMON,2.81047
046002,MFS全盛基金系列-MFS全球重點研究基金 A1 (歐元),20160901,EOG RESOURCES INC COMMON,2.73303
046002,MFS全盛基金系列-MFS全球重點研究基金 A1 (歐元),20160901,HEWLETT-PACKARD ENTERPRISE CO COMMON,2.71871
046002,MFS全盛基金系列-MFS全球重點研究基金 A1 (歐元),20160901,MONDELEZ INTERNATIONAL COMMON,2.67072
046002,MFS全盛基金系列-MFS全球重點研究基金 A1 (歐元),20160901,DANONE COMMON,2.6131
046015,MFS全盛基金系列-MFS全盛全球高收益基金 A1(美元),20160901,TELECOM ITALIA SPA/MILANO 144A 5.303 MAY 30 24,0.79379
046015,MFS全盛基金系列-MFS全盛全球高收益基金 A1(美元),20160901,EL PASO CORP 7.75 JAN 15 32,0.72281
046015,MFS全盛基金系列-MFS全盛全球高收益基金 A1(美元),20160901,BANK OF AMERICA CORP (6.10% NC10) FRB DEC 29 49,0.63328
046015,MFS全盛基金系列-MFS全盛全球高收益基金 A1(美元),20160901,ROYAL BANK OF SCOTLAND GROUP PLC REGS FRB MAR 25 24,0.53749
046015,MFS全盛基金系列-MFS全盛全球高收益基金 A1(美元),20160901,MTS INTL FDG LTD (MOBILE TELESYSTEMS) 5.000 MAY 30 23,0.52939
046015,MFS全盛基金系列-MFS全盛全球高收益基金 A1(美元),20160901,GRUPO POSADAS S.A.B. REGS 7.875 JUN 30 22,0.52272
046015,MFS全盛基金系列-MFS全盛全球高收益基金 A1(美元),20160901,ALTICE FINANCING SA 144A 6.625 FEB 15 23,0.52177
046015,MFS全盛基金系列-MFS全盛全球高收益基金 A1(美元),20160901,GRUPO CEMENTOS (CHIHUAHUA) REGS 8.125 FEB 08 20,0.51711
046015,MFS全盛基金系列-MFS全盛全球高收益基金 A1(美元),20160901,BPCE SA 144A VRB SEP 30 59,0.5116
046015,MFS全盛基金系列-MFS全盛全球高收益基金 A1(美元),20160901,INTESA SANPAOLO SPA REGS 2.855 APR 23 25,0.49609
046001,MFS全盛基金系列-MFS全盛全球高收益基金 A1(歐元),20160901,TELECOM ITALIA SPA/MILANO 144A 5.303 MAY 30 24,0.79379
046001,MFS全盛基金系列-MFS全盛全球高收益基金 A1(歐元),20160901,EL PASO CORP 7.75 JAN 15 32,0.72281
